H.No.,Med_center,
120127, Abraham Infectious Disease Associates ,
128070, AG Rhodes Homes ,
129528, Air Methods,Air Life Georgia 
129505, Albany Arthritis and Orthopedic Center ,
120063, Alfred E Beach High School (APEX Program by Gateway CSB) ,
128064, Ambulatory Care Center,Medical College of Georgia 
128103, American Cancer Society,Georgia 
120130, Archbold Gastroenterology Group ,
128069, Archbold Medical Center ,
120128, Archbold Pulmonary Medicine and Critical Care Services ,
129623, Arthritis Center of North Georgia ,
128080, Atlanta Allergy and Asthma Clinic ,
128095, Atlanta Dermatologic Surgery Consultants ,
120197, Atlanta Dermatology and Aesthetics ,
129622, Atlanta Gastroenterology Associates ,
129535, Atlanta Plastic Surgery ,
128045, Atlanta Sports Medicine & Orthopaedic Center ,
128066, Atlanta Sports Medicine Foundation Inc ,
128067, Atlanta Sports Medicine Surgery Center LLC ,
120100, Atlanta Women's Center ,
120266, Atrium Health Navicent The Medical Center ,
120002, Augusta Behavioral Health Clinic,Serenity Behavioral Health 
128075, Augusta State Medical Prison ,
120038, Augusta University Athletic Department ,
120091, Augusta University West Wheeler Medical Clinic ,
129522, Augusta University/University of Georgia Medical Partnership ,
120099, Avita Community Partners ,
120023, Barton Child Law and Policy Center at Emory University School of Law ,
120122, Bipin Patel MD,Pulmonary Disease Office 
129644, Bluff Plantation ,
128087, Bolingreen Health and Rehabilitation ,
128019, Brawner Psychiatric Institute ,
129540, Budd Terrace Nursing Home ,
128057, Caduceus Occupational Medicine (Hapeville Clinic) ,
120129, Cairo Internal Medicine ,
120103, Carafem Health Center ,
120125, Cardiovascular Consultants of South Georgia LLC ,
129598, Carl Vinson VA Medical Center ,
129548, Cartersville Medical Center ,
120015, Center for Advanced Pediatrics ,
120491, Centers for Disease Control and Prevention ,
128078, Central Georgia Rehabilitation Hospital ,
128072, Central Georgia Senior Health Inc ,
120346, Central State Hospital ,
129641, Chatham County Behavioral Health Crisis Center (Gateway) ,
120029, Chatham Orthopedics ,
120118, Chhokar Clinic ,
120111, Children's Healthcare of Atlanta ,
120481, Children's Healthcare of Atlanta at Egleston ,
128043, Children's Healthcare of Atlanta at Scottish Rite ,
128098, Children's Healthcare of Atlanta Hughes Spaulding ,
128079, Children's Specialty Services ,
129537, Chris Kids Inc ,
128073, Clayton County Board of Health ,
120041, Coastal Harbor Behavioral Health ,
120087, Colquitt County Jail ,
129608, Colquitt Regional Medical Center ,
120120, Columbus Family Medicine LLC ,
128102, Community Advance Practice Nurses Inc ,
129616, Community Health Care Systems (Macon,Bibb County) 
129602, Community Service Board of Middle Georgia ,
120080, Comprehensive Nephrology Center ,
129580, Cornerstone Pediatrics ,
128096, Crisp Regional Hospital ,
129514, CSI Laboratories ,
129638, Curtis V Cooper Primary Health Care Inc ,
129539, DaVita Georgia Dialysis for Adolescents and Pediatrics ,
129521, Dekalb Community Service Board ,
128074, Dekalb County Board of Health ,
