,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,10027, Accordia Health & Wellness,https://freida.ama-assn.org/institution/010027,,,,"1132 Hillcrest Rd, Mobile, AL 36695"
1,19190, Aesthetic Dermatology,https://freida.ama-assn.org/institution/019190,,,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,"3570 Grandview Pkwy, Birmingham, AL 35243"
2,18058, Alabama Allergy and Asthma Center,https://freida.ama-assn.org/institution/018058,,,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,"10 Old Montgomery Hwy, Birmingham, AL 35209"
3,10048, Alabama Department of Forensic Sceinces-Mobile,https://freida.ama-assn.org/institution/010048,,,,"2451 Fillingim St, Mobile, AL 36617"
4,18032, Alabama Department of Forensic Sciences,https://freida.ama-assn.org/institution/018032,,,,"PO Box 240591, Montgomery, AL 36124"
5,10532, Alabama Department of Forensic Sciences (Auburn),https://freida.ama-assn.org/institution/010532,,,,"PO Box 3510, Auburn, AL 36830-3510"
6,18095, Alabama Dermatology Associates,https://freida.ama-assn.org/institution/018095,,,,"4410 Watermelon Rd, Northport, AL 35472"
7,18024, Alabama Orthopaedic and Spine Center at Medical Center East,https://freida.ama-assn.org/institution/018024,,,,"52 Medical Park East Dr, Birmingham, AL 35235"
8,19168, Alabama Orthopaedic Clinic PC,https://freida.ama-assn.org/institution/019168,,,,"3610 Springhill Memorial Dr N, Mobile, AL 36608"
9,18045, AlaCare Home Health and Hospice,https://freida.ama-assn.org/institution/018045,,,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,"2400 John Hawkins Pkwy, Hoover, AL 35244"
10,19181, Aliceville Manor Nursing Home,https://freida.ama-assn.org/institution/019181,,,,"703 17th St NW, Aliceville, AL 35442"
11,18094, Allgood Eyecare,https://freida.ama-assn.org/institution/018094,,,,"260 Walnut St, Centreville, AL 35042"
12,18041, Alta Pointe Health Systems,https://freida.ama-assn.org/institution/018041,['Univ of South Alabama Coll of Med'],['Alabama Coll of Osteopathic Med'],[],"2400 Gordon Smith Dr, Mobile, AL 36617"
13,19153, Alta Pointe Health Systems-Children's Outpatient Clinic,https://freida.ama-assn.org/institution/019153,,,,"5750-A Southland Dr, Mobile, AL 36693"
14,10086, AltaPointe Health,https://freida.ama-assn.org/institution/010086,,,,"5750 A Southland Dr, Mobile, AL 36693"
15,18072, Amedysis Hospice Services (Homewood),https://freida.ama-assn.org/institution/018072,,,,"2204 Lakeshore Dr, Homewood, AL 35209"
16,18004, American Red Cross Blood Services-Alabama Region,https://freida.ama-assn.org/institution/018004,,,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,"1130 22nd St S, Birmingham, AL 35203"
17,18009, American Sports Medicine Institute,https://freida.ama-assn.org/institution/018009,,,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,"2660 10th Ave S, Birmingham, AL 35205"
18,18054, Andrews Sports Medicine and Orthopedic Center,https://freida.ama-assn.org/institution/018054,,,,"806 St Vincent's Dr, Birmingham, AL 35205"
19,19175, Arbor Woods Health and Rehabilitation,https://freida.ama-assn.org/institution/019175,,,,"515 2nd St NW, Reform, AL 35481"
20,10051, Auburn University Sports Medicine Clinic,https://freida.ama-assn.org/institution/010051,,,,"400 Lem Morrison Dr, Auburn, AL 36849"
21,19171, Baldwin Bone and Joint PC,https://freida.ama-assn.org/institution/019171,,,,"1505 Daphne Ave, Daphne, AL 36526"
22,10055, Baldwin Nephrology LLC,https://freida.ama-assn.org/institution/010055,,,,"750 Morphy Ave, Fairhope, AL 36532"
23,18018, Baptist Medical Center East,https://freida.ama-assn.org/institution/018018,,,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,"400 Taylor Rd, Montgomery, AL 36117"
24,10309, Baptist Medical Center South,https://freida.ama-assn.org/institution/010309,Univ of Alabama at Brimingham Marnix E Heersink Sch of Med,,,"2105 E South Blvd, Montgomery, AL 36111-1010"
25,18012, Baptist Outreach Services,https://freida.ama-assn.org/institution/018012,,Alabama Coll of Osteopathic Med,,"301 Brown Springs Rd, Montgomery, AL 36124-0124"
26,18090, BayPointe Hospital,https://freida.ama-assn.org/institution/018090,,,,"5800 Southland Dr, Mobile, AL 36693"
27,18092, Bibb Medical Center,https://freida.ama-assn.org/institution/018092,William Carey Univ Coll of Osteopathic Med,,,"208 Pierson Ave, Centreville, AL 35042"
