,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,30004, Abrazo Arizona Heart Hospital,https://freida.ama-assn.org/institution/030004,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"1930 E Thomas Rd, Phoenix, AZ 85016"
1,30003, Abrazo Arrowhead Campus,https://freida.ama-assn.org/institution/030003,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"18701 N 67th St, Glendale, AZ 85308"
2,30024, Abrazo Central Campus,https://freida.ama-assn.org/institution/030024,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"2000 W Bethany Home Rd, Phoenix, AZ 85015"
3,30517, Abrazo Health Network,https://freida.ama-assn.org/institution/030517,"['Univ of Arizona Coll of Med-Phoenix', 'Midwestern Univ Arizona Coll of Osteopathic Med', 'A T Still Univ Sch of Osteopathic Med in Arizona']","['Univ of Arizona Coll of Med-Tucson', 'Creighton Univ Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'Burrell Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']",[],"2000 W Bethany Home Rd, Phoenix, AZ 85015"
4,30050, Abrazo Medical Group,https://freida.ama-assn.org/institution/030050,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"18700 N 64th Dr, Glendale, AZ 85308"
5,30002, Abrazo West Campus,https://freida.ama-assn.org/institution/030002,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"13677 W McDowell Rd, Goodyear, AZ 85395"
6,30079, Acacia Health Center at Sagewood,https://freida.ama-assn.org/institution/030079,,,,"4555 E Mayo Blvd, Phoenix, AZ 85050"
7,38081, Accredited Internal Medicine,https://freida.ama-assn.org/institution/038081,,,,"13838 S 46th Pl, Phoenix, AZ 85044"
8,30045, Active Life and Pain Center,https://freida.ama-assn.org/institution/030045,,,,"13575 W Indian School Rd, Litchfield Park, AZ 85340"
9,39608, Advanced Desert Dermatology,https://freida.ama-assn.org/institution/039608,,,,"9191 W Thunderbird Rd, Peoria, AZ 85381"
10,30118, Affiliated Dermatology Ahwatukee,https://freida.ama-assn.org/institution/030118,,,,"16515 S 40th St, Phoenix, AZ 85048"
11,30119, Affiliated Dermatology Anthem,https://freida.ama-assn.org/institution/030119,,,,"41810 N Venture Dr, Anthem, AZ 85086"
12,30120, Affiliated Dermatology Deer Valley,https://freida.ama-assn.org/institution/030120,,,,"19646 N 27th Ave, Phoenix, AZ 85027"
13,38185, Affiliated Dermatology Scottsdale,https://freida.ama-assn.org/institution/038185,,"['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'Burrell Coll of Osteopathic Med']",[],"20401 N 73rd St, Scottsdale, AZ 85255"
14,39584, Aiello Eye Institute,https://freida.ama-assn.org/institution/039584,,,,"275 W 28th St, Yuma, AZ 85364"
15,38169, Air Methods Corporation,https://freida.ama-assn.org/institution/038169,,Univ of Arizona Coll of Med-Tucson,,"11700 W Avra Valley Rd, Marana, AZ 85653"
16,38210, Alta Dermatology Group,https://freida.ama-assn.org/institution/038210,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"130 S 63rd St, Mesa, AZ 85206"
17,39591, Arizona Associates for Reproductive Health,https://freida.ama-assn.org/institution/039591,,Creighton Univ Sch of Med,,"8573 E Princess Dr, Scottsdale, AZ 85255"
18,38130, Arizona Cancer Center at UMC Orange Grove,https://freida.ama-assn.org/institution/038130,,,Univ of Arizona Coll of Med-Tucson,"1891 W Orange Grove Rd, Tucson, AZ 85704"
19,30037, Arizona Cardiovascular and Thoracic Surgeons,https://freida.ama-assn.org/institution/030037,,,,"8402 E Shea Blvd, Scottsdale, AZ 85260"
20,39621, Arizona Center for Cancer Care,https://freida.ama-assn.org/institution/039621,,,,"21803 N Scottsdale Rd, Scottsdale, AZ 85255"
21,38144, Arizona Center for Hand Surgery PC,https://freida.ama-assn.org/institution/038144,,,Univ of Nebraska Coll of Med,"370 E Virginia Ave, Phoenix, AZ 85004"
22,38113, Arizona Children's Association,https://freida.ama-assn.org/institution/038113,Creighton Univ Sch of Med,,,"3636 N Central Ave, Phoenix, AZ 85012"
23,38042, Arizona Community Physicians (Tucson),https://freida.ama-assn.org/institution/038042,,,,"5055 E Broadway Blvd, Tucson, AZ 85711"
24,38055, Arizona Department of Health Services,https://freida.ama-assn.org/institution/038055,,,,"150 N 18th Ave, Phoenix, AZ 85007"
25,38033, Arizona Heart Institute and Hospital,https://freida.ama-assn.org/institution/038033,,,,"1930 Thomas Rd, Phoenix, AZ 85016"
26,38135, Arizona Kidney Disease & Hypertension Ambulatory Surgery Center,https://freida.ama-assn.org/institution/038135,,,Mayo Clinic Alix Sch of Med,"3320 N 2nd St, Phoenix, AZ 85012"
27,38097, Arizona Oncology Gynecology Clinic,https://freida.ama-assn.org/institution/038097,Creighton Univ Sch of Med,,,"1300 N 12th St, Phoenix, AZ 85006"
28,38091, Arizona Otolaryngology Consultants PC,https://freida.ama-assn.org/institution/038091,,,Mayo Clinic Alix Sch of Med,"333 E Virginia Ave, Phoenix, AZ 85004"
29,38037, Arizona Poison and Drug Information Center,https://freida.ama-assn.org/institution/038037,,,,"1501 N Campbell Ave, Tucson, AZ 85724"
30,38122, Arizona Poison and Drug Information Center (AZPDIC),https://freida.ama-assn.org/institution/038122,,Univ of Arizona Coll of Med-Tucson,,"1295 N Martin Ave, Tucson, AZ 85721"
31,38098, Arizona Reproductive Medicine Specialists (Downtown Phoenix),https://freida.ama-assn.org/institution/038098,,,,"1701 E Thomas Rd, Phoenix, AZ 85016"
32,30082, Arizona Sports Medical Center/Abrazo Medical Group,https://freida.ama-assn.org/institution/030082,,,,"8630 E Via de Ventura, Scottsdale, AZ 85258"
33,30502, Arizona State Hospital,https://freida.ama-assn.org/institution/030502,Creighton Univ Sch of Med,,,"2500 E Van Buren St, Phoenix, AZ 85008-6079"
34,38047, Arizona State University (Tempe),https://freida.ama-assn.org/institution/038047,,,Mayo Clinic Alix Sch of Med,"PO Box 872203, Tempe, AZ 85287"
35,38060, Arizona Telemedicine Network,https://freida.ama-assn.org/institution/038060,,,,"2800 E Ajo Way, Tucson, AZ 85713"
36,38126, Arrowhead Hospital and Medical Center,https://freida.ama-assn.org/institution/038126,Creighton Univ Sch of Med,,,"18701 N 67th Ave, Glendale, AZ 85308"
37,39626, Arthritis Health Ltd,https://freida.ama-assn.org/institution/039626,,,,"9097 E Desert Cove Ave, Scottsdale, AZ 85260"
38,39586, Assurance Health and Wellness Center,https://freida.ama-assn.org/institution/039586,,Univ of Arizona Coll of Med-Tucson,,"3939 S Park Ave, Tucson, AZ 85714"
39,30033, Atria Heart Cardiac Clinic,https://freida.ama-assn.org/institution/030033,,,,"16427 N Scottsdale Rd, Scottsdale, AZ 85254"
40,30097, Auberge at Peoria,https://freida.ama-assn.org/institution/030097,,,,"13391 N 94th Dr, Peoria, AZ 85381"
41,30054, Aurora Behavioral Healthcare-Tempe LLC,https://freida.ama-assn.org/institution/030054,Creighton Univ Sch of Med,,,"6350 S Maple Ave, Tempe, AZ 85283"
42,39562, Aurora Diagnostics Arizona Dermatopathology,https://freida.ama-assn.org/institution/039562,,,,"9060 E Via Linda, Scottsdale, AZ 85258"
43,38168, Banner Alzheimer's Institute,https://freida.ama-assn.org/institution/038168,,,,"901 E Willetta St, Phoenix, AZ 85006"
