,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,49510, Advanced Orthopaedic Specialists,https://freida.ama-assn.org/institution/049510,,,,"3900 N Parkview Dr, Fayetteville, AR 72703"
1,49522, ARcare,https://freida.ama-assn.org/institution/049522,,,,"406 Rodgers Dr, Searcy, AR 72143"
2,40013, ARcare AIDS Education & Training Center,https://freida.ama-assn.org/institution/040013,,,,"623 N 9th St, Augusta, AR 72006"
3,40474, Area Health Education Center-Fort Smith,https://freida.ama-assn.org/institution/040474,,,,"612 S 12th St, Fort Smith, AR 72901"
4,40480, Area Health Education Center-Northeast,https://freida.ama-assn.org/institution/040480,,,,"223 E Jackson St, Jonesboro, AR 72401"
5,40470, Area Health Education Center-Northwest,https://freida.ama-assn.org/institution/040470,,,,"2907 E Joyce Blvd, Fayetteville, AR 72703"
6,40464, Area Health Education Center-Pine Bluff,https://freida.ama-assn.org/institution/040464,,,,"4010 Mulberry St, Pine Bluff, AR 71603"
7,40481, Area Health Education Center-South Arkansas,https://freida.ama-assn.org/institution/040481,,,,"460 W Oak, El Dorado, AR 71730"
8,40040, Arisa Health-North Little Rock,https://freida.ama-assn.org/institution/040040,,,,"3601 Richards Rd, North Little Rock, AR 72117"
9,40284, Arkansas Children's Hospital,https://freida.ama-assn.org/institution/040284,Univ of Arkansas for Med Sci Coll of Med,,,"800 Marshall St, Little Rock, AR 72202-3591"
10,40002, Arkansas College of Osteopathic Medicine,https://freida.ama-assn.org/institution/040002,,,,"7000 Chad Colley Blvd, Fort Smith, AR 72916"
11,48027, Arkansas Department of Corrections Special Programs Unit,https://freida.ama-assn.org/institution/048027,,Univ of Arkansas for Med Sci Coll of Med,,"7500 Correction Circle, Pine Bluff, AR 71603-1437"
12,49528, Arkansas Digestive Disease Clinic,https://freida.ama-assn.org/institution/049528,,,,"9501 Baptist Health Dr, Little Rock, AR 72205"
13,48056, Arkansas Fertility and Gynecology Associates,https://freida.ama-assn.org/institution/048056,,Univ of Arkansas for Med Sci Coll of Med,,"9101 Kanis Rd, Little Rock, AR 72205"
14,40484, Arkansas Health Center,https://freida.ama-assn.org/institution/040484,,,,"6701 Hwy 67, Benton, AR 72015"
15,48030, Arkansas Heart Hospital,https://freida.ama-assn.org/institution/048030,"['Arkansas Coll of Osteopahic Med', 'New York Inst of Technology Coll of Osteopathic Med Arkansas State']",['Univ of Arkansas for Med Sci Coll of Med'],,"1701 S Shackleford Rd, Little Rock, AR 72211"
16,48060, Arkansas Hospice Inc,https://freida.ama-assn.org/institution/048060,,Univ of Arkansas for Med Sci Coll of Med,,"5600 W 12th St, Little Rock, AR 72204"
17,48058, Arkansas Juvenile Assessment and Treatment Center,https://freida.ama-assn.org/institution/048058,,,,"1501 Woody Dr, Alexander, AR 72002"
18,40026, Arkansas Renal Group,https://freida.ama-assn.org/institution/040026,,,,"115 Wrights St, Hot Springs, AR 71913"
19,48062, Arkansas Skin Cancer Center,https://freida.ama-assn.org/institution/048062,,,,"9601 Lile Dr, Little Rock, AR 72205"
