,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,78112, Air Methods Corporation,https://freida.ama-assn.org/institution/078112,,,,"7211 S Peoria, Englewood, CO 80112"
1,78033, Anshutz Centers for Advanced Medicine at University of Colorado Hospital,https://freida.ama-assn.org/institution/078033,,,,"1635 N Ursula St, Aurora, CO 80045"
2,78013, Aspen Sports Medicine Foundation,https://freida.ama-assn.org/institution/078013,,,,"100 E Main St, Aspen, CO 81611-3798"
3,70040, Aurora Mental Health-The Stith Center,https://freida.ama-assn.org/institution/070040,,,,"791 Chambers Rd, Aurora, CO 80011"
4,78019, Avista Hospital,https://freida.ama-assn.org/institution/078019,,,,"100 Health Park Dr, Louisville, CO 80027"
5,78121, Berenbeim Osteopathic PC,https://freida.ama-assn.org/institution/078121,,,,"1780 S Bellaire St, Denver, CO 80222"
6,78126, Blue Sky Neurology-Aurora,https://freida.ama-assn.org/institution/078126,,,,"1400 S Potomac St, Aurora, CO 80012"
7,78025, Bonfils Blood Center,https://freida.ama-assn.org/institution/078025,,Univ of Colorado Sch of Med,,"717 Yosemite St, Denver, CO 80230"
8,78052, Boulder Community Hospital,https://freida.ama-assn.org/institution/078052,,"['Univ of Colorado Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']",,"1100 Balsam Ave, Boulder, CO 80304"
9,70027, Castle Pines Urgent Care,https://freida.ama-assn.org/institution/070027,,,,"7280 Lagae Rd, Castle Pines, CO 80108"
10,70021, Castle Rock Adventist Hospital,https://freida.ama-assn.org/institution/070021,,,,"2350 Meadows Blvd, Castle Rock, CO 80109"
11,78051, Centers for Disease Control and Prevention,https://freida.ama-assn.org/institution/078051,,,,"3150 Rampart Rd, Fort Collins, CO 80522"
12,70053, Centura Health Corporation,https://freida.ama-assn.org/institution/070053,,,,"9100 E Mineral Cir, Centennial, CO 80112"
13,70378, Children's Hospital Colorado,https://freida.ama-assn.org/institution/070378,['Univ of Colorado Sch of Med'],"['Univ of North Dakota Sch of Med and Health Sciences', 'Univ of Washington Sch of Med', 'Univ of Missouri-Columbia Sch of Med', 'Univ of Texas Health Science Ctr at San Antonio Joe R and Teresa Lozano']",,"13123 E 16th Ave, Aurora, CO 80045"
14,78114, Children's Hospital Colorado North Campus (Broomfield),https://freida.ama-assn.org/institution/078114,,,,"469 CO-7, Broomfield, CO 80023"
15,78036, Clinica Campesina,https://freida.ama-assn.org/institution/078036,,,,"1345 Plaza Court N, Lafayette, CO 80026"
16,78059, Clinimmune Labs,https://freida.ama-assn.org/institution/078059,,Univ of Colorado Sch of Med,,"12635 E Montview Blvd, Aurora, CO 80045"
17,70024, Colorado Center for Personalized Medicine (CCPM) Biobank,https://freida.ama-assn.org/institution/070024,,,,"13001 E 17th Pl, Aurora, CO 80045"
18,78026, Colorado Department of Corrections,https://freida.ama-assn.org/institution/078026,,Univ of Colorado Sch of Med,,"3600 Havana St, Denver, CO 80239"
19,78037, Colorado Department of Public Health and Environment,https://freida.ama-assn.org/institution/078037,,,,"4200 Cherry Creek Dr S, Denver, CO 80246"
20,78034, Colorado Foundation for Medical Care,https://freida.ama-assn.org/institution/078034,,,,"2851 S Parker Rd, Aurora, CO 80014"
21,78068, Colorado Genetics Laboratory UC Denver,https://freida.ama-assn.org/institution/078068,,Univ of Colorado Sch of Med,,"3055 Roslyn St, Denver, CO 80238"
22,70469, Colorado Mental Health Institute at Fort Logan,https://freida.ama-assn.org/institution/070469,,"['Univ of Colorado Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",,"3520 W Oxford Ave, Denver, CO 80236"
23,78024, Colorado Mental Health Institute at Pueblo,https://freida.ama-assn.org/institution/078024,,Univ of Colorado Sch of Med,,"1600 W 24th St, Pueblo, CO 81003-1499"
24,78072, Colorado Mesa University,https://freida.ama-assn.org/institution/078072,,,,"1100 North Ave, Grand Junction, CO 81501"
25,70004, Colorado Neurology Center,https://freida.ama-assn.org/institution/070004,,,,"1400 S Potomac St, Aurora, CO 80012"
26,78092, Colorado Plains Medical Center,https://freida.ama-assn.org/institution/078092,,,,"1000 Lincoln St, Fort Morgan, CO 80701"
27,78050, Colorado School of Public Health,https://freida.ama-assn.org/institution/078050,,,,"13001 E 17th Ave, Aurora, CO 80045"
28,70052, Colorado Skin Surgery & Dermatology,https://freida.ama-assn.org/institution/070052,,,,"7336 S Yosemite St, Centennial, CO 80112"
29,78057, Colorado State Veterans Home at Fitzsimons,https://freida.ama-assn.org/institution/078057,,Univ of Colorado Sch of Med,,"1919 Quentin St, Aurora, CO 80045"
30,78077, Concentra Inc Occupational Medicine Department,https://freida.ama-assn.org/institution/078077,,,,"15235 E 38th Ave, Aurora, CO 80011"
