,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,88015, Albert J Solnit Children's Center-South Campus,https://freida.ama-assn.org/institution/088015,,Univ of Connecticut Sch of Med,,"915 River Rd, Middletown, CT 06457"
1,88085, Amberwoods of Farmington,https://freida.ama-assn.org/institution/088085,,,Univ of Connecticut Sch of Med,"416 Colt Hwy, Farmington, CT 06032"
2,88053, American Cancer Society-Southern New England Region,https://freida.ama-assn.org/institution/088053,,,,"530 Preston Ave, Meriden, CT 06450"
3,88036, APT Foundation Inc Substance Abuse Treatment,https://freida.ama-assn.org/institution/088036,,,,"1 Long Wharf, New Haven, CT 06511"
4,88057, BHcare,https://freida.ama-assn.org/institution/088057,,,,"14 Sycamore Way, Branford, CT 06405-6551"
5,88065, Bridgeport Health Care Center,https://freida.ama-assn.org/institution/088065,,,,"600 Bond St, Bridgeport, CT 06610"
6,80359, Bridgeport Hospital,https://freida.ama-assn.org/institution/080359,['Yale Sch of Med'],['Univ of New England Coll of Osteopathic Med'],,"267 Grant St, Bridgeport, CT 06610-2870"
7,88024, Capital Region Education Council Polaris Center,https://freida.ama-assn.org/institution/088024,,,Univ of Connecticut Sch of Med,"111 Charter Oak Ave, Hartford, CT 06106"
8,88080, Central Connecticut State University Department of Athletics,https://freida.ama-assn.org/institution/088080,,,,"1615 Stanley St, New Britain, CT 06050"
9,88043, Children's Center of Hamden,https://freida.ama-assn.org/institution/088043,,,Univ of Connecticut Sch of Med,"1400 Whitney Ave, Hamden, CT 06517"
10,88017, Community Mental Health Services of Southeastern Connecticut,https://freida.ama-assn.org/institution/088017,,,,"No 14 Rte 12, Preston, CT 06365"
11,80407, Connecticut Children's Medical Center,https://freida.ama-assn.org/institution/080407,"['Univ of Connecticut Sch of Med', 'Frank H Netter MD Sch of Med at Quinnipiac Univ']",['Univ of New England Coll of Osteopathic Med'],,"282 Washington St, Hartford, CT 06106-3316"
12,88023, Connecticut Dept of Corrections Manson Youth Facility,https://freida.ama-assn.org/institution/088023,,,Univ of Connecticut Sch of Med,"42 Jarvis St, Cheshire, CT 06410"
13,80005, Connecticut Division of Scientific Services,https://freida.ama-assn.org/institution/080005,Univ of Connecticut Sch of Med,,,"278 Colony St, Meriden, CT 06451"
14,88041, Connecticut Hospice Inc,https://freida.ama-assn.org/institution/088041,,Univ of Connecticut Sch of Med,,"100 Double Beach Rd, Branford, CT 06405"
15,88075, Connecticut Institute for Communities Inc,https://freida.ama-assn.org/institution/088075,,,,"57 North St, Danbury, CT 06810"
16,80715, Connecticut Mental Health Center,https://freida.ama-assn.org/institution/080715,Yale Sch of Med,,,"34 Park St, New Haven, CT 06519"
17,80723, Connecticut Red Cross Blood Services,https://freida.ama-assn.org/institution/080723,,,,"209 Farmington Ave, Farmington, CT 06032"
18,80006, Connecticut State Police Central District Major Crime Unit,https://freida.ama-assn.org/institution/080006,,Univ of Connecticut Sch of Med,,"269 Maxim Rd, Hartford, CT 06114"
19,80214, Connecticut Valley Hospital,https://freida.ama-assn.org/institution/080214,,,Univ of Connecticut Sch of Med,"1000 Silver St, Middletown, CT 06457"
20,80363, Danbury Hospital,https://freida.ama-assn.org/institution/080363,['Robert Larner MD Coll of Med at the Univ of Vermont'],"['Univ of New England Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']","['Yale Sch of Med', 'New York Med Coll']","24 Hospital Ave, Danbury, CT 06810-0729"
21,507015, Danbury Hospital-Western Connecticut Health Network,https://freida.ama-assn.org/institution/0507015,,,,
22,88074, Eastern Connecticut Health Network,https://freida.ama-assn.org/institution/088074,['Univ of New England Coll of Osteopathic Med'],"['Frank H Netter MD Sch of Med at Quinnipiac Univ', 'West Virginia Sch of Osteopathic Med']",['Univ of Connecticut Sch of Med'],"71 Haynes St, Manchester, CT 06040"
23,88108, ECHN Neuromusculoskeletal Medicine,https://freida.ama-assn.org/institution/088108,,,,"29 Haynes St, Mancheser, CT 06040"
24,88072, Endocrine Associates of Connecticut,https://freida.ama-assn.org/institution/088072,,,,"200 Orchard St, New Haven, CT 06511"
25,88070, Endocrinology and Metabolism Specialists,https://freida.ama-assn.org/institution/088070,,,,"5520 Parks Ave, Trumbull, CT 06611"
26,88069, Fair Haven Community Health Center,https://freida.ama-assn.org/institution/088069,,Univ of Connecticut Sch of Med,,"374 Grand Ave, New Haven, CT 06513"
27,88094, Fair Haven Community Health Clinic,https://freida.ama-assn.org/institution/088094,,,,"374 Grand Ave, New Haven, CT 06513"
28,88112, Family Health Center-Southwest,https://freida.ama-assn.org/institution/088112,,,,"762 Lindley St, Bridgeport, CT 06606"
29,88037, Garner Correctional Institution,https://freida.ama-assn.org/institution/088037,,,Univ of Connecticut Sch of Med,"50 Nannawauk Rd, Newtown, CT 06470"
30,88021, Gaylord Hospital,https://freida.ama-assn.org/institution/088021,,Yale Sch of Med,,"50 Gaylord Farm Rd, Wallingford, CT 06492"
31,88062, Glastonbury Surgery Center,https://freida.ama-assn.org/institution/088062,,,Univ of Connecticut Sch of Med,"195 Eastern Blvd, Glastonbury, CT 06033"
32,88073, Golden Hill Health Care Center,https://freida.ama-assn.org/institution/088073,,,,"2028 Bridgeport Ave, Milford, CT 06460"
33,80257, Greenwich Hospital,https://freida.ama-assn.org/institution/080257,['Yale Sch of Med'],['New York Med Coll'],,"5 Perryridge Rd, Greenwich, CT 06830-2700"
34,80172, Griffin Hospital,https://freida.ama-assn.org/institution/080172,['Frank H Netter MD Sch of Med at Quinnipiac Univ'],['Univ of New England Coll of Osteopathic Med'],,"130 Division St, Derby, CT 06418-1499"
35,88038, Hamden Health Care Center,https://freida.ama-assn.org/institution/088038,,,,"1270 Sherman Ln, Hamden, CT 06514"
36,88071, Hammers Healthcare Imaging,https://freida.ama-assn.org/institution/088071,,,,"2 Church St S, New Haven, CT 06511"
37,88058, Hand Center,https://freida.ama-assn.org/institution/088058,,,Univ of Connecticut Sch of Med,"85 Seymour St, Hartford, CT 06106"
38,80275, Hartford Hospital,https://freida.ama-assn.org/institution/080275,"['Univ of Connecticut Sch of Med', 'Geisel Sch of Med at Dartmouth']","['Frank H Netter MD Sch of Med at Quinnipiac Univ', 'Univ of New England Coll of Osteopathic Med']",['Yale Sch of Med'],"80 Seymour St, Hartford, CT 06102"
39,88042, Hartford Surgery Center,https://freida.ama-assn.org/institution/088042,,,,"100 Retreat Ave, Hartford, CT 06106"
40,88022, Hebrew Home and Hospital,https://freida.ama-assn.org/institution/088022,,,,"1 Abrahms Blvd, West Hartford, CT 06117"
41,88055, Hill Health Center,https://freida.ama-assn.org/institution/088055,,Univ of Connecticut Sch of Med,,"400 Columbus Ave, New Haven, CT 06519"
42,88034, Hospital for Special Care,https://freida.ama-assn.org/institution/088034,,['Univ of Connecticut Sch of Med'],['Geisel Sch of Med at Dartmouth'],"2150 Corbin Ave, New Britain, CT 06053"
43,80372, Hospital of Central Connecticut,https://freida.ama-assn.org/institution/080372,Univ of Connecticut Sch of Med,,,"100 Grand St, New Britain, CT 06050-0100"
44,80244, Hospital of St Raphael,https://freida.ama-assn.org/institution/080244,,Univ of Connecticut Sch of Med,,"1450 Chapel St, New Haven, CT 06511-2700"
45,80400, Institute of Living,https://freida.ama-assn.org/institution/080400,Univ of Connecticut Sch of Med,,,"400 Washington St, Hartford, CT 06106-3392"
46,88067, Internal Medicine of Clinton,https://freida.ama-assn.org/institution/088067,,,,"5 Pequot Park Rd, Westbrook, CT 06498"
47,88060, Jefferson Radiology PC,https://freida.ama-assn.org/institution/088060,,Univ of Connecticut Sch of Med,,"85 Seymour St, Hartford, CT 06106"
48,88039, Jewish Home for the Elderly,https://freida.ama-assn.org/institution/088039,,,,"175 Jefferson St, Fairfield, CT 06825"
49,80442, Lawrence + Memorial Hospital,https://freida.ama-assn.org/institution/080442,,Yale Sch of Med,,"365 Montauk Ave, New London, CT 06320"
50,88098, Lord Chamberlain Nursing and Rehabilitation Center,https://freida.ama-assn.org/institution/088098,,,,"7003 Main St, Stratford, CT 06614"
51,88040, Masonicare,https://freida.ama-assn.org/institution/088040,,,Univ of Connecticut Sch of Med,"22 Masonic Ave, Wallingford, CT 06492"
