,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,90007, ABC Pediatrics,https://freida.ama-assn.org/institution/090007,,,,"740 S New St, Dover, DE 19904"
1,238081, Armed Forces Medical Examiner System,https://freida.ama-assn.org/institution/0238081,,,,
2,98081, Armed Forces Medical Examiner System,https://freida.ama-assn.org/institution/098081,,,,"115 Purple Heart Dr, Dover AFB, DE 19902"
3,90002, Bayhealth Hospital-Sussex Campus,https://freida.ama-assn.org/institution/090002,,,,"100 Wellness Way, Milford, DE 19963"
4,90248, Bayhealth Medical Center,https://freida.ama-assn.org/institution/090248,,,Raymond and Ruth Perelman Sch of Med at the Univ of Pennsylvania,"640 S State St, Dover, DE 19901"
5,90009, Beebe Healthcare,https://freida.ama-assn.org/institution/090009,,,,"424 Savannah Rd, Lewes, DE 19958"
6,98082, Beebe Medical Center,https://freida.ama-assn.org/institution/098082,,,,"424 Savannah Rd, Lewes, DE 19958"
7,90019, Brandywine Counseling and Community Services Inc,https://freida.ama-assn.org/institution/090019,,,,"2713 Lancaster Ave, Wilmington, DE 19805"
8,98020, Christiana Care Center for Urogynecology and Pelvic Surgery,https://freida.ama-assn.org/institution/098020,,,Drexel Univ Coll of Med,"4735 Ogletown-Stanton Rd, Newark, DE 19713"
9,90247, Christiana Care Health Services Inc,https://freida.ama-assn.org/institution/090247,"['Sidney Kimmel Med Coll at Thomas Jefferson Univ', 'Philadelphia Coll of Osteopathic Med', 'Rowan Univ Sch of Osteopathic Med']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'George Washington Univ Sch of Med and Health Sci', 'Univ of New England Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med', 'Geisel Sch of Med at Dartmouth']","['Lewis Katz Sch of Med at Temple Univ', 'Drexel Univ Coll of Med']","501 W 14th St, Wilmington, DE 19899-1668"
10,98085, Christiana Hospital,https://freida.ama-assn.org/institution/098085,,"['Geisel Sch of Med at Dartmouth', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Raymond and Ruth Perelman Sch of Med at the Univ of Pennsylvania'],"4755 Ogletown-Stanton Rd, Newark, DE 19718"
11,90004, CNMRI-Milford Office,https://freida.ama-assn.org/institution/090004,,,,"111 Neurology Way, Milford, DE 19963"
12,98004, Community Mental Health Clinic-Dover,https://freida.ama-assn.org/institution/098004,,,,"805 River Rd, Dover, DE 19901"
13,98005, Community Mental Health Clinic-Wilmington,https://freida.ama-assn.org/institution/098005,,,,"809 Washington St, Wilmington, DE 19801"
14,90297, Delaware Division of Substance Abuse and Mental Health,https://freida.ama-assn.org/institution/090297,,,"['Johns Hopkins Univ Sch of Med', 'Raymond and Ruth Perelman Sch of Med at the Univ of Pennsylvania']","1901 N DuPont Hwy, New Castle, DE 19720-1668"
