,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,108024, Air Force Medical Operations Agency  ,https://freida.ama-assn.org/institution/108024,,Uniformed Services Univ of the Hlth Sci F Edward Hebert Sch of Med,,"110 Luke Ave, Bolling AFB, DC 20332"
1,108034, Andromeda Transcultural Health  ,https://freida.ama-assn.org/institution/108034,,,,"1400 Decatur St NW, Washington, DC 20011"
2,100392, Armed Forces Institute of Pathology  ,https://freida.ama-assn.org/institution/100392,,,,"6825 16th St NW, Washington, DC 20306-6000"
3,109502, Capital Caring (Washington DC)  ,https://freida.ama-assn.org/institution/109502,,,,"50 F St NW, Washington, DC 20001"
4,108036, Center for Ambulatory Surgery Inc  ,https://freida.ama-assn.org/institution/108036,,,,"1133 21st St NW, Washington, DC 20036"
5,100441, Children's National Medical Center  ,https://freida.ama-assn.org/institution/100441,"['George Washington Univ Sch of Med and Health Sci', 'Howard Univ Coll of Med', 'Georgetown Univ Sch of Med']","['Univ of New England Coll of Osteopathic Med', 'Uniformed Services Univ of the Hlth Sci F Edward Hebert Sch of Med', 'West Virginia Sch of Osteopathic Med']",['Univ of Mississippi Sch of Med'],"111 Michigan Ave NW, Washington, DC 20010"
6,109505, Community Connections Inc  ,https://freida.ama-assn.org/institution/109505,,,,"801 Pennsylvania Ave SE, Washington, DC 20003"
7,238109, Corder Children's Medical Center  ,https://freida.ama-assn.org/institution/238109,,,,"5425 14th Dr NW, Washington, DC 20011"
8,109506, DaVinci Plastic Surgery  ,https://freida.ama-assn.org/institution/109506,,,,"3301 New Mexico Ave NW, Washington, DC 20016"
9,108038, DC Department of Mental Health  ,https://freida.ama-assn.org/institution/108038,,,,"64 New York Ave NE, Washington, DC 20011"
10,109508, DC Department of Public Health  ,https://freida.ama-assn.org/institution/109508,,,George Washington Univ Sch of Med and Health Sci,"899 N Capitol St NE, Washington, DC 20002"
11,109503, DC Police and Fire Clinic  ,https://freida.ama-assn.org/institution/109503,,,,"920 Varnum St NW, Washington, DC 20017"
12,100183, District of Columbia General Hospital  ,https://freida.ama-assn.org/institution/100183,,,,"19th St & Massachusetts Ave SE, Washington, DC 20003"
13,109510, District of Columbia's Department of Youth Rehabilitation Services  ,https://freida.ama-assn.org/institution/109510,,,,"450 H St NW, Washington, DC 20001"
14,108030, DMH Assessment Center  ,https://freida.ama-assn.org/institution/108030,,,George Washington Univ Sch of Med and Health Sci,"300 Indiana Ave NW, Washington, DC 20002"
15,108031, Family Court Treatment Program  ,https://freida.ama-assn.org/institution/108031,,,,"3323 13th St SE, Washington, DC 20032"
16,100003, Federal Bureau of Prisons  ,https://freida.ama-assn.org/institution/100003,,,,"320 1st St NW, Washington, DC 20534"
17,109513, Federal Communications Commission  ,https://freida.ama-assn.org/institution/109513,,,,"445 12th St SW, Washington, DC 20554"
18,109516, Gallaudet University Athletic Department  ,https://freida.ama-assn.org/institution/109516,,,George Washington Univ Sch of Med and Health Sci,"800 Florida Ave NE, Washington, DC 20002"
