,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,119906, 21st Century Oncology,https://freida.ama-assn.org/institution/119906,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"3661 S Miami Ave, Miami, FL 33133"
1,119565, 7th Avenue Family Health Center-Broward Health,https://freida.ama-assn.org/institution/119565,,,,"200 NW 7th Ave, Fort Lauderdale, FL 33311"
2,110109, A Enrique Whittwell MD Office,https://freida.ama-assn.org/institution/110109,,,,"6705 SW 57th Ave, Coral Gables, FL 33143"
3,118121, A G Holley Hospital,https://freida.ama-assn.org/institution/118121,,,,"1199 W Lantana Rd, Lantana, FL 33462"
4,119765, Adult and Pediatric Dermatology of South Florida,https://freida.ama-assn.org/institution/119765,,,,"3225 Aviation Ave, Miami, FL 33133"
5,119766, Advanced Dermatology & Cosmetic Surgery-Altamonte Springs,https://freida.ama-assn.org/institution/119766,,,,"106 Boston Ave, Altamonte Springs, FL 32701"
6,119767, Advanced Dermatology & Cosmetic Surgery-Baldwin Park,https://freida.ama-assn.org/institution/119767,,,,"851 Outer Rd, Orlando, FL 32814"
7,119768, Advanced Dermatology & Cosmetic Surgery-Clermont,https://freida.ama-assn.org/institution/119768,,,,"1920 Don Wickham Dr, Clermont, FL 34711"
8,119777, Advanced Dermatology & Cosmetic Surgery-DeLand,https://freida.ama-assn.org/institution/119777,,,,"600 W Plymouth Ave, DeLand, FL 32720"
9,119769, Advanced Dermatology & Cosmetic Surgery-Heathrow,https://freida.ama-assn.org/institution/119769,,,,"120 International Pkwy, Heathrow, FL 32746"
10,119720, Advanced Dermatology & Cosmetic Surgery-Maitland,https://freida.ama-assn.org/institution/119720,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"151 Southhall Ln, Maitland, FL 32751"
11,119889, Advanced Dermatology & Cosmetic Surgery-Miami,https://freida.ama-assn.org/institution/119889,,,,"6280 Sunset Dr, Miami, FL 33143"
12,119772, Advanced Dermatology & Cosmetic Surgery-Ocala,https://freida.ama-assn.org/institution/119772,,,,"1918 SE 17th St, Ocala, FL 34471"
13,119773, Advanced Dermatology & Cosmetic Surgery-Orlando Downtown,https://freida.ama-assn.org/institution/119773,,,,"2116 S Orange Ave C, Orlando, FL 32806"
14,119775, Advanced Dermatology & Cosmetic Surgery-Ormond Beach,https://freida.ama-assn.org/institution/119775,,,,"725 W Granada Blvd, Ormond Beach, FL 32174"
15,119776, Advanced Dermatology & Cosmetic Surgery-Oviedo,https://freida.ama-assn.org/institution/119776,,,,"1410 W Broadway St, Oviedo, FL 32765"
16,119778, Advanced Dermatology & Cosmetic Surgery-Port Orange,https://freida.ama-assn.org/institution/119778,,,,"1720 Dunlawton Ave, Port Orange, FL 32127"
17,119779, Advanced Dermatology & Cosmetic Surgery-The Villages,https://freida.ama-assn.org/institution/119779,,,,"1503 Buenos Aires Blvd, The Villages, FL 32162"
18,119770, Advanced Dermatology & Cosmetic Surgery-Winter Park,https://freida.ama-assn.org/institution/119770,,,,"1901 Lee Rd, Winter Park, FL 32789"
19,110089, Advanced Neuroscience Network Physicians-Hialeah,https://freida.ama-assn.org/institution/110089,,,,"7100 W 20th Ave, Hialeah, FL 33016"
20,110364, Advanced Urology Institute,https://freida.ama-assn.org/institution/110364,,,,"12780 Race Track Rd, Tampa, FL 33626"
21,119704, Advanced Urology Institute LLC,https://freida.ama-assn.org/institution/119704,,,,"12139 Country Rd 103, Oxford, FL 34484"
22,119787, AdventHealth Altamonte Springs,https://freida.ama-assn.org/institution/119787,,,,"601 E Altamonte Dr, Altamonte Springs, FL 32701"
23,110402, AdventHealth Apopka,https://freida.ama-assn.org/institution/110402,,,,"2100 Ocoee Apopka Rd, Apopka, FL 32703"
24,119103, AdventHealth Carrollwood,https://freida.ama-assn.org/institution/119103,,,,"7171 N Dale Mabry Hwy, Tampa, FL 33614"
25,119874, AdventHealth Celebration,https://freida.ama-assn.org/institution/119874,,,,"400 Celebration Pl, Celebration, FL 34747"
26,119140, AdventHealth East Orlando,https://freida.ama-assn.org/institution/119140,['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],"['Midwestern Univ Arizona Coll of Osteopathic Med', 'USF Health Morsani Coll of Med']",,"7727 Lake Underhill, Orlando, FL 32822"
27,110078, AdventHealth Family Medicine Avon Park,https://freida.ama-assn.org/institution/110078,,,,"4200 Sun N Lake Blvd, Sebring, FL 33872"
