,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,150014, Allumbaugh House Terry Reilly Health Services  ,https://freida.ama-assn.org/institution/150014,,,,"400 N Allumbaugh, Boise, ID 83704"
1,158030, Bingham Memorial Hospital  ,https://freida.ama-assn.org/institution/158030,,"['Idaho Coll of Osteopathic Med', 'Burrell Coll of Osteopathic Med']",['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"98 Poplar St, Blackfoot, ID 83221"
2,158018, Boise Behavioral Health Hospital  ,https://freida.ama-assn.org/institution/158018,,,,"8050 Northview, Boise, ID 83704"
3,158007, Boise State University Health and Wellness Center  ,https://freida.ama-assn.org/institution/158007,,,,"1910 University Dr, Boise, ID 83706"
4,158022, Family Medicine Health Center Meridian ,https://freida.ama-assn.org/institution/158022,,,,"2275 S Eagle Rd, Meridian, ID 83642"
5,158015, Family Medicine Residency of Idaho (Fort Street)  ,https://freida.ama-assn.org/institution/158015,,,,"121 E Fort St, Boise, ID 83712"
6,150714, Full Circle Health  ,https://freida.ama-assn.org/institution/150714,['Univ of Washington Sch of Med'],"['Midwestern Univ Arizona Coll of Osteopathic Med', 'Idaho Coll of Osteopathic Med']",['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"777 N Raymond, Boise, ID 83704"
7,150018, Full Circle Health Nampa South Clinic  ,https://freida.ama-assn.org/institution/150018,,,,"215 E Hawaii Ave, Nampa, ID 83696"
8,158013, HCA Healthcare/Eastern Idaho Regional Medical Center  ,https://freida.ama-assn.org/institution/158013,['Idaho Coll of Osteopathic Med'],"['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'Burrell Coll of Osteopathic Med']",[],"3100 Channing Way, Idaho Falls, ID 83404"
9,158029, Idaho Memory and Aging Center  ,https://freida.ama-assn.org/institution/158029,,,,"935 E Lincoln Rd, Idaho Falls, ID 83401"
10,150012, Idaho Physicians Clinic  ,https://freida.ama-assn.org/institution/150012,,,,"98 Poplar St, Blackfoot, ID 83221"
11,158008, Idaho Sports Medicine Institute  ,https://freida.ama-assn.org/institution/158008,,,,"1188 University Dr, Boise, ID 83706"
12,150013, Idaho State Correctional Institution  ,https://freida.ama-assn.org/institution/150013,,,,"13500 Pleasant Valley Rd, Kuna, ID 83634"
13,158001, Idaho State University  ,https://freida.ama-assn.org/institution/158001,['Idaho Coll of Osteopathic Med'],['West Virginia Sch of Osteopathic Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"921 S 8th Ave, Pocatello, ID 83209-8090"
14,150003, Idaho State Veterans Home  ,https://freida.ama-assn.org/institution/150003,,,,"320 Collins Rd, Boise, ID 83702"
15,158028, Idaho Urologic Institute  ,https://freida.ama-assn.org/institution/158028,,Idaho Coll of Osteopathic Med,,"222 N 2nd St, Boise, ID 83702"
16,158016, Kootenai Health  ,https://freida.ama-assn.org/institution/158016,,Univ of Washington Sch of Med,,"2003 Kootenai Health Way, Coeur d'Alene, ID 83814"
17,158012, Madison Memorial Hospital  ,https://freida.ama-assn.org/institution/158012,,"['Idaho Coll of Osteopathic Med', 'Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med']",[],"450 E Main, Rexburg, ID 83440"
18,158006, Magic Valley Regional Medical Center  ,https://freida.ama-assn.org/institution/158006,,Idaho Coll of Osteopathic Med,,"650 Addison Ave W, Twin Falls, ID 83303-0409"
19,158017, Marquis Care at Shaw Mountain Nursing Home  ,https://freida.ama-assn.org/institution/158017,,,,"909 Reserve St, Boise, ID 83712"
20,150019, Mountain States Institute for GME and Research  ,https://freida.ama-assn.org/institution/150019,,,,"1401 E Central Dr, Meridian, ID 83642"
21,158031, Mountain View Hospital  ,https://freida.ama-assn.org/institution/158031,,Univ of Washington Sch of Med,,"2325 Coronado St, Idaho Falls, ID 83404"
22,158009, Orthopaedic Surgery Center of Idaho  ,https://freida.ama-assn.org/institution/158009,,,,"1450 W River, Boise, ID 83702"
23,158024, Panhandle Health District  ,https://freida.ama-assn.org/institution/158024,,,,"8500 N Atlas Rd, Hayden, ID 83835"
24,158020, Portneuf Medical Center  ,https://freida.ama-assn.org/institution/158020,,"['Idaho Coll of Osteopathic Med', 'Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']",[],"777 Hospital Way, Pocatello, ID 83201"
25,158002, Portneuf Regional Medical Center  ,https://freida.ama-assn.org/institution/158002,Univ of Washington Sch of Med,,,"651 Memorial Dr, Pocatello, ID 83201"
26,150002, Primary Health Medical Group  ,https://freida.ama-assn.org/institution/150002,,,,"300 W Myrtle, Boise, ID 83702"
27,150016, Raise the Bottom Boise ,https://freida.ama-assn.org/institution/150016,,Univ of Washington Sch of Med,,"9196 W Barnes St, Boise, ID 83709"
28,150015, Recovery 4 Life Boise ,https://freida.ama-assn.org/institution/150015,,Univ of Washington Sch of Med,,"8950 Emerald St, Boise, ID 83704"
29,150001, Saltzer Medical Group  ,https://freida.ama-assn.org/institution/150001,,,,"215 E Hawaii Ave, Nampa, ID 83686"
30,150008, Simpson DermCare and Family Medicine  ,https://freida.ama-assn.org/institution/150008,,,,"3456 E 17th St, Idaho Falls, ID 83406"
31,158019, Southwest Idaho Advanced Care Hospital  ,https://freida.ama-assn.org/institution/158019,,,,"6651 W Franklin Rd, Boise, ID 83709"
32,158036, St Alphonsus Medical Center Nampa  ,https://freida.ama-assn.org/institution/158036,,,,"4300 E Flamingo Ave, Nampa, ID 83687"
33,158005, St Alphonsus Medical Group  ,https://freida.ama-assn.org/institution/158005,,,,"315 Elm St, Caldwell, ID 83605"
34,150713, St Alphonsus Regional Medical Center  ,https://freida.ama-assn.org/institution/150713,"['Idaho Coll of Osteopathic Med', 'Univ of Washington Sch of Med']","['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",[],"1055 N Curtis Rd, Boise, ID 83706"
35,158010, St Luke's Clinic Jerome Family Medicine  ,https://freida.ama-assn.org/institution/158010,,,,"132 W 5th Ave, Jerome, ID 83338"
36,158011, St Luke's Jerome  ,https://freida.ama-assn.org/institution/158011,,,,"709 N Lincoln St, Jerome, ID 83338"
37,158033, St Luke's Nampa Medical Plaza  ,https://freida.ama-assn.org/institution/158033,,Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med,,"9850 W St Luke's Dr, Nampa, ID 83687"
38,150711, St Luke's Regional Medical Center  ,https://freida.ama-assn.org/institution/150711,['Univ of Washington Sch of Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],[],"190 E Bannock St, Boise, ID 83712"
39,150189, State Hospital South  ,https://freida.ama-assn.org/institution/150189,,Idaho Coll of Osteopathic Med,,"700 E Alice St, Blackfoot, ID 83221"
40,158004, Treasure Valley Hospital  ,https://freida.ama-assn.org/institution/158004,,,,"8800 W Emerald St, Boise, ID 83704"
41,158027, Valley View Nursing and Rehabilitation  ,https://freida.ama-assn.org/institution/158027,,,,"1140 N Allumbaugh St, Boise, ID 83704"
42,150712, Veterans Affairs Medical Center (Boise)  ,https://freida.ama-assn.org/institution/150712,['Univ of Washington Sch of Med'],['Idaho Coll of Osteopathic Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"500 W Fort St, Boise, ID 83702-4598"
43,158025, Vibra Hospital of Boise  ,https://freida.ama-assn.org/institution/158025,,Idaho Coll of Osteopathic Med,,"2131 S Bonito Way, Meridian, ID 83642"
44,150017, Walker Center Gooding ,https://freida.ama-assn.org/institution/150017,,,,"605 11th St, Gooding, ID 83330"
45,150710, West Valley Medical Center  ,https://freida.ama-assn.org/institution/150710,['Univ of Washington Sch of Med'],"['Idaho Coll of Osteopathic Med', 'Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med']",[],"1717 Arlington, Caldwell, ID 83605"
