,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,169514, 900 North Michigan Surgery Center   ,https://freida.ama-assn.org/institution/169514,,,,"60 E Delaware Pl, Chicago, IL 60611"
1,160166, A McFarland Mental Health Center   ,https://freida.ama-assn.org/institution/160166,,,,"901 Southwind Rd, Springfield, IL 62703"
2,160051, A New You Plastic Surgery and Laser Center   ,https://freida.ama-assn.org/institution/160051,,,,"4944 95th St, Oak Lawn, IL 60435"
3,168116, Access Community Health Network   ,https://freida.ama-assn.org/institution/168116,,,,"222 N Canal St, Chicago, IL 60606"
4,168048, Advanced Reproductive Health Center   ,https://freida.ama-assn.org/institution/168048,,,,"1 E Erie St, Chicago, IL 60611"
5,160175, Adventist La Grange Memorial Hospital   ,https://freida.ama-assn.org/institution/160175,['Midwestern Univ Chicago Coll of Osteopathic Med'],"['Rush Med Coll of Rush Univ Med Ctr', 'Loyola Univ of Chicago Stritch Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",['Univ of Chicago Div of the Biological Sciences Pritzker Sch of Med'],"5101 S Willow Springs Rd, LaGrange, IL 60525"
6,160303, Advocate Christ Medical Center   ,https://freida.ama-assn.org/institution/160303,"['Univ of Illinois Coll of Med', 'Loyola Univ of Chicago Stritch Sch of Med', 'Midwestern Univ Chicago Coll of Osteopathic Med']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Rush Med Coll of Rush Univ Med Ctr', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Univ of Chicago Div of the Biological Sciences Pritzker Sch of Med'],"4440 W 95th St, Oak Lawn, IL 60453-4213"
7,168067, Advocate Good Samaritan Hospital   ,https://freida.ama-assn.org/institution/168067,,Rush Med Coll of Rush Univ Med Ctr,,"3815 Highland Av, Downers Grove, IL 60515"
8,169565, Advocate Health Care   ,https://freida.ama-assn.org/institution/169565,,,,"3075 Highland Pkwy, Downers Grove, IL 60515"
9,160411, Advocate Illinois Masonic Medical Center   ,https://freida.ama-assn.org/institution/160411,"['Univ of Illinois Coll of Med', 'Midwestern Univ Chicago Coll of Osteopathic Med']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Rush Med Coll of Rush Univ Med Ctr', 'Chicago Med Sch at Rosalind Franklin Univ of Med & Science', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Univ of Chicago Div of the Biological Sciences Pritzker Sch of Med'],"836 W Wellington Ave, Chicago, IL 60657-5193"
10,160484, Advocate Lutheran General Hospital   ,https://freida.ama-assn.org/institution/160484,"['Univ of Illinois Coll of Med', 'Midwestern Univ Chicago Coll of Osteopathic Med']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Loyola Univ of Chicago Stritch Sch of Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']","['Rush Med Coll of Rush Univ Med Ctr', 'Univ of Chicago Div of the Biological Sciences Pritzker Sch of Med']","1775 W Dempster St, Park Ridge, IL 60068-1174"
11,160115, Advocate Ravenswood Medical Center   ,https://freida.ama-assn.org/institution/160115,,,,"4550 N Winchester Ave, Chicago, IL 60640-5205"
12,160103, Advocate Sherman Hospital   ,https://freida.ama-assn.org/institution/160103,,,,"1425 N Randall Rd, Elgin, IL 60123"
13,169572, Advocate South Suburban Hospital   ,https://freida.ama-assn.org/institution/169572,,,,"17800 Kedzie Ave, Hazel Crest, IL 60429"
14,169588, Aida Spahic Mihajlovic MD Psychiatry ,https://freida.ama-assn.org/institution/169588,,,,"3700 203rd St, Olympia Fields, IL 60461"
15,168110, Alexian Brothers Medical Center   ,https://freida.ama-assn.org/institution/168110,,Univ of Illinois Coll of Med,,"800 Biesterfield Rd, Elk Grove Village, IL 60007"
16,160042, Alton Memorial Hospital   ,https://freida.ama-assn.org/institution/160042,Southern Illinois Univ Sch of Med,,,"1 Memorial Dr, Alton, IL 62002"
17,160369, Amita Health Adventist Medical Center Hinsdale   ,https://freida.ama-assn.org/institution/160369,['Midwestern Univ Chicago Coll of Osteopathic Med'],"['Midwestern Univ Arizona Coll of Osteopathic Med', 'Loma Linda Univ Sch of Med', 'Rush Med Coll of Rush Univ Med Ctr', 'Loyola Univ of Chicago Stritch Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",[],"120 N Oak St, Hinsdale, IL 60521-3829"
18,168043, Amita Health Saints Mary and Elizabeth Medical Center   ,https://freida.ama-assn.org/institution/168043,['Chicago Med Sch at Rosalind Franklin Univ of Med & Science'],['Loyola Univ of Chicago Stritch Sch of Med'],[],"2233 W Division St, Chicago, IL 60622"
19,168045, Amita Health St Alexius Medical Center Hoffman Estates   ,https://freida.ama-assn.org/institution/168045,,['Loyola Univ of Chicago Stritch Sch of Med'],['Rush Med Coll of Rush Univ Med Ctr'],"1555 Barrington Rd, Hoffman Estates, IL 60194"
20,160310, Amita Health St Joseph Hospital (Chicago)   ,https://freida.ama-assn.org/institution/160310,['Univ of Illinois Coll of Med'],"['Midwestern Univ Arizona Coll of Osteopathic Med', 'Loyola Univ of Chicago Stritch Sch of Med']",['Univ of Chicago Div of the Biological Sciences Pritzker Sch of Med'],"2900 N Lake Shore Dr, Chicago, IL 60657"
21,160325, Amita Health St Joseph Medical Center Joliet   ,https://freida.ama-assn.org/institution/160325,,,,"333 N Madison St, Joliet, IL 60435"
22,169573, Amita Health St Mary's Hospital   ,https://freida.ama-assn.org/institution/169573,,,,"500 W Court St, Kankakee, IL 60901"
