,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,189511, Area Ambulance Service (Cedar Rapids)  ,https://freida.ama-assn.org/institution/189511,,,,"2730 12th St SW, Cedar Rapids, IA 52404"
1,180240, Broadlawns Medical Center  ,https://freida.ama-assn.org/institution/180240,,['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],['Univ of Iowa Roy J and Lucille A Carver Coll of Med'],"1801 Hickman Rd, Des Moines, IA 50314-1597"
2,189512, CARE Ambulance LLC  ,https://freida.ama-assn.org/institution/189512,,,,"1801 S Riverside Dr, Iowa City, IA 52246"
3,189519, Cedar Rapids Fire Department  ,https://freida.ama-assn.org/institution/189519,,,,"713 1st Ave, Cedar Rapids, IA 52401"
4,188002, Cedar Rapids Medical Education Foundation  ,https://freida.ama-assn.org/institution/188002,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"1026 A Ave NE, Cedar Rapids, IA 52402"
5,180496, Central Iowa Health System (Iowa Lutheran Hospital)  ,https://freida.ama-assn.org/institution/180496,,,,"700 E University Ave, Des Moines, IA 50316-2396"
6,180130, Central Iowa Health System (Iowa Methodist/Iowa Lutheran)  ,https://freida.ama-assn.org/institution/180130,['Univ of Iowa Roy J and Lucille A Carver Coll of Med'],,['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"1200 Pleasant St, Des Moines, IA 50309"
7,188005, Des Moines Area Medical Education Consortium Inc  ,https://freida.ama-assn.org/institution/188005,,,,"1415 Woodland Ave, Des Moines, IA 50309"
8,189507, Eastern Iowa Health Center  ,https://freida.ama-assn.org/institution/189507,,,,"1201 3rd Ave SE, Cedar Rapids, IA 52403"
9,189501, Genesis Health System  ,https://freida.ama-assn.org/institution/189501,,,,"1227 E Rusholme St, Davenport, IA 52803"
10,188001, Genesis Medical Center  ,https://freida.ama-assn.org/institution/188001,,Univ of Iowa Roy J and Lucille A Carver Coll of Med,,"1227 E Rusholme St, Davenport, IA 52803"
11,189506, Iowa City Cancer Treatment Center  ,https://freida.ama-assn.org/institution/189506,,,,"3010 Northgate Dr, Iowa City, IA 52245"
12,189508, Iowa City Hospice Inc  ,https://freida.ama-assn.org/institution/189508,,,,"1025 Wade St, Iowa City, IA 42240"
13,188011, Iowa Clinic PC  ,https://freida.ama-assn.org/institution/188011,,,,"1221 Center Dr, Des Moines, IA 50309"
14,188015, Iowa Diabetes and Endocrinology Center PC  ,https://freida.ama-assn.org/institution/188015,,,,"1111 6th Ave, Des Moines, IA 50314"
15,188012, Iowa Health Physicians  ,https://freida.ama-assn.org/institution/188012,,,,"8101 N Birchwood Ct, Johnston, IA 50131"
16,188013, Iowa Heart Center Pleasant Office (Methodist) ,https://freida.ama-assn.org/institution/188013,,,,"1215 Pleasant St, Des Moines, IA 50309"
17,188004, Iowa Medical and Classification Center  ,https://freida.ama-assn.org/institution/188004,,,,"Hwy 965, Oakdale, IA 52319"
18,180018, Iowa Poison Control Center  ,https://freida.ama-assn.org/institution/180018,,,,"401 Douglas St, Sioux City, IA 51101"
19,189502, Iowa Veterans Home  ,https://freida.ama-assn.org/institution/189502,,,,"1301 Summit St, Marshalltown, IA 50158"
20,189513, Johnson County Ambulance Services  ,https://freida.ama-assn.org/institution/189513,,,,"808 S Dubuque St, Iowa City, IA 52240"
21,189514, Johnson County Sheriff's Office  ,https://freida.ama-assn.org/institution/189514,,,,"511 S Capitol St, Iowa City, IA 52240"
22,189515, Joint Emergency Communication Center  ,https://freida.ama-assn.org/institution/189515,,,,"4529 Melrose Ave, Iowa City, IA 52246"
23,189516, Keokuk County Health Center Ambulance Service ,https://freida.ama-assn.org/institution/189516,,,,"23019 Hwy 149, Sigourney, IA 52519"
24,185044, Medical Oncology and Hematology Associates  ,https://freida.ama-assn.org/institution/185044,,,,"1221 Pleasant St, Des Moines, IA 50309"
25,188046, Mercy Arthritis and Osteoporosis Center  ,https://freida.ama-assn.org/institution/188046,,,,"8421 Plum Dr, Urbandale, IA 50322"
26,180416, Mercy Hospital  ,https://freida.ama-assn.org/institution/180416,,,,"500 E Market St, Iowa City, IA 52245"
27,180452, Mercy Medical Center  ,https://freida.ama-assn.org/institution/180452,,"['Univ of Iowa Roy J and Lucille A Carver Coll of Med', 'Midwestern Univ Arizona Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",[],"701 10th St SE, Cedar Rapids, IA 52403-0003"
28,180709, Mercy Medical Center (Sioux City)  ,https://freida.ama-assn.org/institution/180709,,Univ of Iowa Roy J and Lucille A Carver Coll of Med,,"801 5th St, Sioux City, IA 51101"
29,189503, Mercy Medical Center West Lakes ,https://freida.ama-assn.org/institution/189503,,,,"1755 59th Pl, West Des Moines, IA 50266"
30,180356, MercyOne Des Moines Medical Center  ,https://freida.ama-assn.org/institution/180356,,"['Midwestern Univ Arizona Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']","['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med', 'Univ of Iowa Roy J and Lucille A Carver Coll of Med']","1111 6h Ave, Des Moines, IA 50314"
31,189504, MercyOne Des Moines/PHC Consortium  ,https://freida.ama-assn.org/institution/189504,,,,"1111 6th Avenue, Des Moines, IA 50314"
32,180705, MercyOne North Iowa Medical Center  ,https://freida.ama-assn.org/institution/180705,,"['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']","['Univ of Iowa Roy J and Lucille A Carver Coll of Med', 'Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med']","1000 Fourth St SW, Mason City, IA 50401"
33,180714, MercyOne Waterloo Medical Center ,https://freida.ama-assn.org/institution/180714,,"['Univ of Iowa Roy J and Lucille A Carver Coll of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",[],"3421 W 9th St, Waterloo, IA 50702-5499"
34,180712, Northeast Iowa Medical Education Foundation  ,https://freida.ama-assn.org/institution/180712,,,,"2055 Kimball Ave, Waterloo, IA 50702"
35,188003, Pella Regional Health Center  ,https://freida.ama-assn.org/institution/188003,,,,"404 Jefferson St, Pella, IA 50219"
36,180708, Siouxland Medical Education Foundation  ,https://freida.ama-assn.org/institution/180708,,['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"2501 Pierce St, Sioux City, IA 51104"
37,180417, St Luke's Methodist Hospital  ,https://freida.ama-assn.org/institution/180417,,['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],['Univ of Iowa Roy J and Lucille A Carver Coll of Med'],"1026 A Ave NE, Cedar Rapids, IA 52406-3026"
38,180710, St Luke's Regional Medical Center  ,https://freida.ama-assn.org/institution/180710,,Univ of Iowa Roy J and Lucille A Carver Coll of Med,,"2720 Stone Park Blvd, Sioux City, IA 51104"
39,189509, UnityPoint Broadlawns Psychiatry Education Foundation  ,https://freida.ama-assn.org/institution/189509,,,,"1415 Woodland Ave, Des Moines, IA 50309"
40,180713, UnityPoint Health Allen Hospital ,https://freida.ama-assn.org/institution/180713,,Univ of Iowa Roy J and Lucille A Carver Coll of Med,,"1825 Logan Ave, Waterloo, IA 50703-1999"
41,180415, University of Iowa Hospitals and Clinics  ,https://freida.ama-assn.org/institution/180415,Univ of Iowa Roy J and Lucille A Carver Coll of Med,,,"200 Hawkins Dr, Iowa City, IA 52242-1009"
42,180226, Veterans Affairs Central Iowa Health Care System  ,https://freida.ama-assn.org/institution/180226,,,Univ of Iowa Roy J and Lucille A Carver Coll of Med,"3600 30th St, Des Moines, IA 50310-5774"
43,180319, Veterans Affairs Medical Center (Iowa City)  ,https://freida.ama-assn.org/institution/180319,Univ of Iowa Roy J and Lucille A Carver Coll of Med,,,"Hwy 6 West, Iowa City, IA 52240"
