,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,198030, Aberdeen Village  ,https://freida.ama-assn.org/institution/198030,,,,"17500 W 119th St, Olathe, KS 66061"
1,198051, Advanced Orthopaedic Associates PA  ,https://freida.ama-assn.org/institution/198051,,,Univ of Kansas Sch of Med,"2778 N Webb Rd, Wichita, KS 67226"
2,198020, AdventHealth Shawnee Mission  ,https://freida.ama-assn.org/institution/198020,['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],['Univ of Kansas Sch of Med'],[],"9100 W 74th St, Shawnee Mission, KS 66204"
3,190016, Ascension Via Christi Hospital  ,https://freida.ama-assn.org/institution/190016,,,Univ of Kansas Sch of Med,"1 Mt Carmel Pl, Pittsburg, KS 66762"
4,199507, Associated Plastic Surgeons  ,https://freida.ama-assn.org/institution/199507,,,,"11501 Granada Lane, Leawood, KS 66211"
5,199531, Associates in Women's Health  ,https://freida.ama-assn.org/institution/199531,,,,"3232 E Murdock, Wichita, KS 67208"
6,190418, Bethany Medical Center  ,https://freida.ama-assn.org/institution/190418,,,,"51 N 12th St, Kansas City, KS 66102"
7,199511, Brookdale Rosehill  ,https://freida.ama-assn.org/institution/199511,,Univ of Kansas Sch of Med,,"12802 Johnson Dr, Shawnee, KS 66216"
8,190504, C F Menninger Memorial Hospital  ,https://freida.ama-assn.org/institution/190504,,,,"5800 SW 6th Ave, Topeka, KS 66601-0829"
9,199530, Center for Reproductive Medicine  ,https://freida.ama-assn.org/institution/199530,,,,"9300 E 29th St N, Wichita, KS 67226"
10,190009, Children's Mercy Hospital Kansas  ,https://freida.ama-assn.org/institution/190009,,,,"5808 W 110th St, Overland Park, KS 66211"
11,190498, Colmery O'Neil Veterans Affairs Medical Center ,https://freida.ama-assn.org/institution/190498,,Univ of Kansas Sch of Med,,"2200 Gage Blvd, Topeka, KS 66622"
12,190019, Community Health Center of Southeast Kansas  ,https://freida.ama-assn.org/institution/190019,,,Univ of Kansas Sch of Med,"3011 N Michigan St, Pittsburg, KS 66762"
13,199526, Cypress Surgery Center  ,https://freida.ama-assn.org/institution/199526,,,,"9300 E 29th St N, Wichita, KS 67226"
14,198037, Cypress Women's Imaging  ,https://freida.ama-assn.org/institution/198037,,,Univ of Kansas Sch of Med,"9300 E 29th St N, Wichita, KS 67226"
15,198027, Department of Health (Geary County)  ,https://freida.ama-assn.org/institution/198027,,,,"1212 W Ash St, Junction City, KS 66441"
