,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,208075, Air Methods Kentucky  ,https://freida.ama-assn.org/institution/208075,,Univ of Louisville Sch of Med,,"PO Box 678, Georgetown, KY 40324"
1,208020, American Red Cross Blood Services Louisville Region ,https://freida.ama-assn.org/institution/208020,,,Univ of Louisville Sch of Med,"520 E Chestnut St, Louisville, KY 40201-3168"
2,208072, Anchorage Fire and Emergency Medical Services  ,https://freida.ama-assn.org/institution/208072,,Univ of Louisville Sch of Med,,"1400 Evergreen Rd, Anchorage, KY 40223"
3,208064, Appalachian Osteopathic Postgraduate Training Institute Consortium  ,https://freida.ama-assn.org/institution/208064,,,"['Univ of Pikeville Kentucky Coll of Osteopathic Med', 'William Carey Univ Coll of Osteopathic Med']","147 Sycamore St, Pikeville, KY 41501"
4,208089, Appalachian Regional Healthcare Inc  ,https://freida.ama-assn.org/institution/208089,,['West Virginia Sch of Osteopathic Med'],['Univ of Pikeville Kentucky Coll of Osteopathic Med'],"2260 Executive Dr, Lexington, KY 40505"
5,207045, ARH Regional Medical Center (Hazard)  ,https://freida.ama-assn.org/institution/207045,['Lincoln Memorial Univ DeBusk Coll of Osteopathic Med'],,"['Univ of Kentucky Coll of Med', 'Univ of Pikeville Kentucky Coll of Osteopathic Med']","100 Medical Center Dr, Hazard, KY 41701"
6,200013, Arthritis & Osteoporosis Center  ,https://freida.ama-assn.org/institution/200013,,,,"789 Eastern By-Pass, Richmond, KY 40475"
7,208062, Baptist Eastpoint Surgery Center  ,https://freida.ama-assn.org/institution/208062,,Univ of Louisville Sch of Med,,"2400 Eastpoint Pkwy, Louisville, KY 40223"
8,208021, Baptist Health Deaconess Madisonville  ,https://freida.ama-assn.org/institution/208021,,Univ of Louisville Sch of Med,,"200 Clinic Dr, Madisonville, KY 42431"
9,200248, Baptist Health Lexington  ,https://freida.ama-assn.org/institution/200248,,West Virginia Sch of Osteopathic Med,,"1740 S Nicholasville Rd, Lexington, KY 40503"
10,208038, Baptist Health Louisville  ,https://freida.ama-assn.org/institution/208038,,Univ of Louisville Sch of Med,,"4000 Kresge Way, Louisville, KY 40207"
11,208088, Baptist Health Medical Group  ,https://freida.ama-assn.org/institution/208088,,,,"1720 Nicholasville Rd, Lexington, KY 40503"
12,208035, Baptist Hospital Northeast  ,https://freida.ama-assn.org/institution/208035,,,Univ of Louisville Sch of Med,"1025 New Moody Ln, LaGrange, KY 40031"
13,208022, Baptist Regional Medical Center  ,https://freida.ama-assn.org/institution/208022,,,,"One Trillium Way, Corbin, KY 40701-8420"
14,208033, Blanchfield Army Community Hospital  ,https://freida.ama-assn.org/institution/208033,Uniformed Services Univ of the Hlth Sci F Edward Hebert Sch of Med,,,"650 Joel Dr, Fort Compbell, KY 42223"
15,208044, Cabinet for Health and Family Services  ,https://freida.ama-assn.org/institution/208044,,,,"Dept for Public Health, Frankfort, KY 40621"
16,200525, Cardinal Hill Hospital  ,https://freida.ama-assn.org/institution/200525,,,Univ of Kentucky Coll of Med,"2050 Versailles Rd, Lexington, KY 40504"
