,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,218110, Acadiana Center for Orthopaedic and Occupational Medicine,https://freida.ama-assn.org/institution/218110,,,,"204 Energy Pkwy, Lafayette, LA 70508"
1,219546, Addiction Recovery Resources Inc,https://freida.ama-assn.org/institution/219546,,,,"1615 Canal St, New Orleans, LA 70112"
2,219554, Affinity Health Group LLC,https://freida.ama-assn.org/institution/219554,,,,"300 DeSiard St, Monroe, LA 71201"
3,218117, Algiers Mental Health Center,https://freida.ama-assn.org/institution/218117,,,,"4422 General Meyer, New Orleans, LA 70114"
4,218106, Allergy Asthma and Immunology Clinic,https://freida.ama-assn.org/institution/218106,,,,"71107 Hwy 21, Covington, LA 70433"
5,219533, Arklatex Fertility and Reproductive Medicine,https://freida.ama-assn.org/institution/219533,,,,"2401 Greenwood Rd, Shreveport, LA 71103"
6,218094, Arthritis & Rheumatology Clinic,https://freida.ama-assn.org/institution/218094,,,,"740 Jordan St, Shreveport, LA 71101"
7,218037, Asthma Allergy Clinic (Shreveport),https://freida.ama-assn.org/institution/218037,,,,"850 Olive St, Shreveport, LA 71104"
8,218114, Baromedical Research Institute,https://freida.ama-assn.org/institution/218114,,,,"4440 40th St, New Orleans, LA 70124"
9,219526, Baton Rouge General Burn Center,https://freida.ama-assn.org/institution/219526,,,,"3600 Florida Blvd, Baton Rouge, LA 70806"
10,217005, Baton Rouge General Medical Center,https://freida.ama-assn.org/institution/217005,,"['Tulane Univ Sch of Med', 'LSU Hlth Sci Ctr Sch of Med in New Orleans']",,"3600 Florida Blvd, Baton Rouge, LA 70821-2511"
11,218108, Baton Rouge Orthopaedic Clinic,https://freida.ama-assn.org/institution/218108,,,,"8080 Bluebonnet Blvd, Baton Rouge, LA 70810"
12,219505, Behavioral Medicine of New Orleans Inc,https://freida.ama-assn.org/institution/219505,,,,"5991 Bullard Ave, New Orleans, LA 70128"
13,219548, Biomedical Research Foundation of Northwest Louisiana-Center for Molecular Imaging and Therapy,https://freida.ama-assn.org/institution/219548,,,,"2031 Kings Hwy, Shreveport, LA 71103"
14,218026, Blood Center for Southeast Louisiana,https://freida.ama-assn.org/institution/218026,,,,"312 S Galvez St, New Orleans, LA 70119"
15,218109, Bone & Joint Clinic of Baton Rouge,https://freida.ama-assn.org/institution/218109,,,,"7301 Hennessy Blvd, Baton Rouge, LA 70808"
