,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,228003, Acadia Hospital,https://freida.ama-assn.org/institution/228003,,,,"268 Stillwater Ave, Bangor, ME 04402"
1,220003, Androscoggin Home Healthcare + Hospice,https://freida.ama-assn.org/institution/220003,,,,"15 Strawberry Ave, Lewiston, ME 04240"
2,228019, Bates College,https://freida.ama-assn.org/institution/228019,,,,"2 Andrews Rd, Lewiston, ME 04240"
3,228009, Bridgton Hospital,https://freida.ama-assn.org/institution/228009,,,,"10 Hospital Dr, Bridgton, ME 04009"
4,220116, Central Maine Medical Center,https://freida.ama-assn.org/institution/220116,"['Univ of New England Coll of Osteopathic Med', 'Robert Larner MD Coll of Med at the Univ of Vermont']","['Boston Univ Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",,"76 High St, Lewiston, ME 04240"
5,220008, City of Portland Fire Department,https://freida.ama-assn.org/institution/220008,,,,"380 Congress St, Portland, ME 04101"
6,228025, City of Portland Public Health Division,https://freida.ama-assn.org/institution/228025,,,,"103 India St, Portland, ME 04101"
7,228017, Colby College,https://freida.ama-assn.org/institution/228017,,,,"4000 Mayflower Hill Dr, Waterville, ME 04901"
8,228018, Cony High School,https://freida.ama-assn.org/institution/228018,,,,"60 Pierce Dr, Augusta, ME 04330"
9,220191, Eastern Maine Medical Center,https://freida.ama-assn.org/institution/220191,"['Univ of New England Coll of Osteopathic Med', 'Robert Larner MD Coll of Med at the Univ of Vermont']",['West Virginia Sch of Osteopathic Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"895 Union St, Bangor, ME 04401-3010"
10,228012, Falmouth by the Sea Nursing Home,https://freida.ama-assn.org/institution/228012,,,,"191 Foreside Rd, Falmouth, ME 04105"
11,228016, Hospice of Southern Maine,https://freida.ama-assn.org/institution/228016,,,,"180 US 1, Scarborough, ME 04074"
12,228020, Lewiston High School,https://freida.ama-assn.org/institution/228020,,,,"156 East Ave, Lewiston, ME 04240"
13,220007, LifeFlight of Maine,https://freida.ama-assn.org/institution/220007,,,,"1847 Main St, Sanford, ME 04073"
14,220384, Maine Medical Center,https://freida.ama-assn.org/institution/220384,['Tufts Univ Sch of Med'],"['Midwestern Univ Arizona Coll of Osteopathic Med', 'Univ of New England Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']",['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"22 Bramhall St, Portland, ME 04102-3175"
15,228004, Maine Nephrology Associates PA,https://freida.ama-assn.org/institution/228004,,,,"1600 Congress St, Portland, ME 04012"
16,220114, Maine-Dartmouth Family Medicine Residency,https://freida.ama-assn.org/institution/220114,"['Univ of New England Coll of Osteopathic Med', 'Geisel Sch of Med at Dartmouth']",,,"15 E Chestnut St, Augusta, ME 04330"
17,220100, MaineGeneral Medical Center,https://freida.ama-assn.org/institution/220100,,,,"6 E Chestnut St, Augusta, ME 04330"
18,220385, Mercy Hospital,https://freida.ama-assn.org/institution/220385,,Geisel Sch of Med at Dartmouth,,"144 State St, Portland, ME 04101"
19,228014, Mid Coast Hospital,https://freida.ama-assn.org/institution/228014,,,,"123 Medical Center Dr, Brunswick, ME 04011"
20,228002, New England Rehabilitation Hospital of Portland,https://freida.ama-assn.org/institution/228002,,,,"335 Brighton Medical, Portland, ME 04102"
21,228013, OA Centers for Orthopaedics,https://freida.ama-assn.org/institution/228013,,,,"33 Sewall St, Portland, ME 04102"
22,220002, Pen Bay Medical Center,https://freida.ama-assn.org/institution/220002,,,,"6 Glen Cove Dr, Rockport, ME 04856"
23,228027, Pen Bay Neurology,https://freida.ama-assn.org/institution/228027,,,,"4 Glen Cove Dr, Rockport, ME 04856"
24,228011, Rumford Hospital,https://freida.ama-assn.org/institution/228011,,,,"420 Franklin St, Rumford, ME 04276"
25,228005, Southern Maine Dialysis Facility,https://freida.ama-assn.org/institution/228005,,,,"1600 Congress St, Portland, ME 04102"
26,228030, Southern Maine Health Care (SMHC),https://freida.ama-assn.org/institution/228030,,,,"1 Medical Center Dr, Biddeford, ME 04005"
27,220005, Spectrum Healthcare Partners,https://freida.ama-assn.org/institution/220005,,,,"324 Gannett Dr, South Portland, ME 04106"
28,228001, Spring Harbor Hospital,https://freida.ama-assn.org/institution/228001,,,,"123 Andover Rd, Westbook, ME 04092"
29,228031, St Mary's Regional Medical Center,https://freida.ama-assn.org/institution/228031,,,,"93 Campus Ave, Lewiston, ME 04240"
30,228035, Stephens Memorial Hospital,https://freida.ama-assn.org/institution/228035,,,,"181 Main St, Norway, ME 04268"
31,220200, Togus Veterans Affairs Medical Center,https://freida.ama-assn.org/institution/220200,,,,"1 VA Center, Togus, ME 04330"
32,228024, University of New England School of Public Health,https://freida.ama-assn.org/institution/228024,,,,"716 Stevens Ave, Portland, ME 04103"
33,228026, VA Maine Health Care System Portland CBOC,https://freida.ama-assn.org/institution/228026,,,,"144 Fore St, Portland, ME 04101"
34,228007, VA Maine Healthcare System at Togus,https://freida.ama-assn.org/institution/228007,,,George Washington Univ Sch of Med and Health Sci,"1 VA  Center, Togus, ME 04330"
35,228015, York County Dialysis Center,https://freida.ama-assn.org/institution/228015,,,,"10 W Cole Rd, Biddeford, ME 04005"
