,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,238098, Advanced Dermatology of Southern Maryland,https://freida.ama-assn.org/institution/238098,,,,"11701 Livingston Rd, Fort Washington, MD 20744"
1,238030, Agency for Healthcare Research and Quality,https://freida.ama-assn.org/institution/238030,,Uniformed Services Univ of the Hlth Sci F Edward Hebert Sch of Med,,"540 Gaither Rd, Rockville, MD 20850"
2,238077, American College of Radiology,https://freida.ama-assn.org/institution/238077,,"['McGovern Med Sch at the Univ of Texas Hlth Science Ctr at Houston', 'Creighton Univ Sch of Med']",['Icahn Sch of Med at Mount Sinai'],"1010 Wayne Ave, Silver Spring, MD 20910"
3,230007, American Institute for Radiologic Pathology,https://freida.ama-assn.org/institution/230007,,,Mayo Clinic Alix Sch of Med,"1100 Wayne Ave, Silver Spring, MD 20910"
4,238014, American Red Cross Blood Services,https://freida.ama-assn.org/institution/238014,,,,"4700 Mount Hope Dr, Baltimore, MD 21215-3200"
5,238066, Anne Arundel Medical Center,https://freida.ama-assn.org/institution/238066,['Univ of Maryland Sch of Med'],"['George Washington Univ Sch of Med and Health Sci', 'Univ of New England Coll of Osteopathic Med', 'Johns Hopkins Univ Sch of Med', 'Uniformed Services Univ of the Hlth Sci F Edward Hebert Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']",,"2001 Medical Pkwy, Annapolis, MD 21401"
6,238050, Armed Forces Health Surveillance Center,https://freida.ama-assn.org/institution/238050,,,,"2900 Linden Lane, Silver Spring, MD 20910"
7,238045, Athol Morgan MD-Cardiology Clinic,https://freida.ama-assn.org/institution/238045,,,,"2600 Liberty Heights Ave, Baltimore, MD 21215"
8,238151, Baltimore County Department of Corrections,https://freida.ama-assn.org/institution/238151,,,,"720 Bosley Ave, Towson, MD 21204"
9,238150, Baltimore County Department of Health,https://freida.ama-assn.org/institution/238150,,,,"6401 York Rd, Baltimore, MD 21202"
10,238025, Baltimore Washington Medical Center,https://freida.ama-assn.org/institution/238025,Univ of Maryland Sch of Med,,,"301 Hospital Dr, Glen Burnie, MD 21061"
11,238055, Barquist Army Health Care Facility,https://freida.ama-assn.org/institution/238055,,,,"1434 Porter St, Fort Detrick, MD 21005"
