,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,248126, American Red Cross Blood Services-New England Region,https://freida.ama-assn.org/institution/248126,,,Geisel Sch of Med at Dartmouth,"180 Rustcraft Rd, Deham, MA 02026"
1,248097, Arbour Health Systems,https://freida.ama-assn.org/institution/248097,,,,"49 Robinwood Ave, Boston, MA 02130"
2,249559, Atrius Health,https://freida.ama-assn.org/institution/249559,,,,"275 Grove St, Auburndale, MA 02466"
3,240435, Austen Riggs Center,https://freida.ama-assn.org/institution/240435,,,,"25 Main St, Stockbridge, MA 01262-0962"
4,248139, Baycove Treatment Center,https://freida.ama-assn.org/institution/248139,,,,"66 Canal St, Boston, MA 02114"
5,248132, Baystate Franklin Medical Center,https://freida.ama-assn.org/institution/248132,,West Virginia Sch of Osteopathic Med,,"164 High St, Greenfield, MA 01301"
6,248141, Beaumont at University Campus LLC,https://freida.ama-assn.org/institution/248141,,,Univ of Massachusetts T H Chan Sch of Med,"378 Plantation St, Worcester, MA 01605"
7,248119, Behavioral Health Network Inc,https://freida.ama-assn.org/institution/248119,,,,"417 Liberty St, Springfield, MA 01104"
8,249532, Berkshire Allergy Care,https://freida.ama-assn.org/institution/249532,,,,"369 South St, Pittsfield, MA 01201"
9,240180, Berkshire Medical Center,https://freida.ama-assn.org/institution/240180,"['Univ of New England Coll of Osteopathic Med', 'Univ of Massachusetts T H Chan Sch of Med']","['Boston Univ Sch of Med', 'West Virginia Sch of Osteopathic Med', 'Burrell Coll of Osteopathic Med']",,"725 North St, Pittsfield, MA 01201"
10,249562, Beth Israel Deaconess Hospital-Milton,https://freida.ama-assn.org/institution/249562,,,,"199 Reedsdale Rd, Milton, MA 02186"
11,248076, Beth Israel Deaconess Medical Center,https://freida.ama-assn.org/institution/248076,['Harvard Med Sch'],['Univ of New England Coll of Osteopathic Med'],"['Boston Univ Sch of Med', 'Geisel Sch of Med at Dartmouth']","330 Brookline Ave, Boston, MA 02215"
