,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,259528, Advanced Urogynecology of Michigan PC,https://freida.ama-assn.org/institution/259528,,,,"22731 Newman St, Dearborn, MI 48124"
1,259033, Advanced Vascular Surgery,https://freida.ama-assn.org/institution/259033,,,,"1815 Henson Ave, Kalamazoo, MI 49048"
2,250106, Advantage Health Centers,https://freida.ama-assn.org/institution/250106,,,,"4777 Outer Dr E, Detroit, MI 48234"
3,259770, Aggarwal Eye Care,https://freida.ama-assn.org/institution/259770,,,,"10501 Telegraph Rd, Taylor, MI 48180"
4,259526, Agility Physical Therapy and Sports Performance-Kalamazoo,https://freida.ama-assn.org/institution/259526,,,,"5886 Venture Park, Kalamazoo, MI 49009"
5,259707, Allan Morton DO PC-Rheumatology Office,https://freida.ama-assn.org/institution/259707,,,,"30101 Hoover Rd, Warren, MI 48093"
6,259614, Allegan General Hospital,https://freida.ama-assn.org/institution/259614,,,,"555 Linn St, Allegan, MI 49010"
7,259664, Alzohaili Medical Consultants,https://freida.ama-assn.org/institution/259664,,,,"1331 Monroe St, Dearborn, MI 48124"
8,259092, Ambassador Nursing & Rehabilitation Center,https://freida.ama-assn.org/institution/259092,,,,"8045 E Jefferson Ave, Detroit, MI 48207"
9,259730, American Journal of Preventive Medicine,https://freida.ama-assn.org/institution/259730,,,,"1415 Washington Heights, Ann Arbor, MI 48109"
10,250550, American Red Cross Blood Services-Southeastern Michigan Region,https://freida.ama-assn.org/institution/250550,,,,"100 Mack Ave, Detroit, MI 48232-5351"
11,250058, Anesthesia Practice Consultants PC,https://freida.ama-assn.org/institution/250058,,,,"3333 Evergreen Dr NE, Grand Rapids, MI 49525"
12,259058, Angela Hospice Home Care Inc,https://freida.ama-assn.org/institution/259058,,,,"14100 Newburgh Rd, Livonia, MI 48154"
13,250035, Ann Arbor Fire Department,https://freida.ama-assn.org/institution/250035,,,,"111 N 5th Ave, Ann Arbor, MI 48104"
14,250095, Apex Behavioral Health Dearborn PLLC,https://freida.ama-assn.org/institution/250095,,,,"6 Park Lane Blvd, Dearborn, MI 48126"
15,250490, Ascension Borgess Hospital,https://freida.ama-assn.org/institution/250490,['Western Michigan Univ Homer Stryker MD Sch of Med'],,['Michigan State Univ Coll of Human Med'],"1521 Gull Rd, Kalamazoo, MI 49001-1640"
16,259129, Ascension Borgess Hospital Affiliated Physician Practices,https://freida.ama-assn.org/institution/259129,,,,"1521 Gull Rd, Kalamazoo, MI 49048"
17,258007, Ascension Genesys Hospital,https://freida.ama-assn.org/institution/258007,"['Michigan State Univ Coll of Human Med', 'Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"One Genesys Pkwy, Grand Blanc, MI 48439-1477"
18,259025, Ascension Macomb-Oakland Hospital,https://freida.ama-assn.org/institution/259025,"['Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Burrell Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",,"11800 E 12 Mile Rd, Warren, MI 48093"
19,250199, Ascension Providence Rochester Hospital,https://freida.ama-assn.org/institution/250199,Wayne State Univ Sch of Med,,,"1101 W University Dr, Rochester, MI 48307-1831"
20,250197, Ascension Providence/MSUCHM,https://freida.ama-assn.org/institution/250197,"['Wayne State Univ Sch of Med', 'Michigan State Univ Coll of Human Med', 'Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']",['Burrell Coll of Osteopathic Med'],['Univ of Michigan Med Sch'],"16001 W 9 Mile Rd, Southfield, MI 48075"
21,250486, Ascension St John Hospital,https://freida.ama-assn.org/institution/250486,"['Wayne State Univ Sch of Med', 'Central Michigan Univ Coll of Med']",['West Virginia Sch of Osteopathic Med'],,"22101 Morross Rd, Detroit, MI 48236-2172"
22,250276, Ascension St Mary's Hospital,https://freida.ama-assn.org/institution/250276,Central Michigan Univ Coll of Med,,,"800 S Washington Ave, Saginaw, MI 48601"
23,259663, Associated Endocrinologists,https://freida.ama-assn.org/institution/259663,,,,"6900 Orchard Lake Rd, West Bloomfield, MI 48322"
24,259683, Associated Orthopedists of Detroit PC,https://freida.ama-assn.org/institution/259683,,,,"24715 Little Mack Ave, St Clair Shores, MI 48080"
25,259710, Associated Rheumatology Consultants,https://freida.ama-assn.org/institution/259710,,,,"28625 Northwestern Hwy, Southfield, MI 48034"
26,259641, Associates in Neurology,https://freida.ama-assn.org/institution/259641,,,,"27555 Middlebelt Rd, Farmington Hills, MI 48334"
27,259757, Asthma Allergy & Immunology,https://freida.ama-assn.org/institution/259757,,,,"18161 W Thirteen Mile Rd, Southfield, MI 48076"
28,259719, Aurora Diagnostics Dermatopathology,https://freida.ama-assn.org/institution/259719,,,,"1314 N Macomb St, Monroe, MI 48162"
29,259595, Aydin Turan MD-Internal Medicine Office,https://freida.ama-assn.org/institution/259595,,,,"2600 Union Lake Rd, Commerce Township, MI 48382"
30,259661, B Raju MD-Infant Child & Adolescent Care,https://freida.ama-assn.org/institution/259661,,,,"577 Inskter Rd, Garden City, MI 48135"
31,259015, Barbara Ann Karmanos Cancer Institute,https://freida.ama-assn.org/institution/259015,Wayne State Univ Sch of Med,,,"4100 John R St, Detroit, MI 48201"
32,259098, Battle Creek Health System,https://freida.ama-assn.org/institution/259098,,,,"300 North Ave, Battle Creek, MI 49017"
33,259571, Battle Creek VA Medical Center,https://freida.ama-assn.org/institution/259571,,,,"5500 Armstrong Rd, Battle Creek, MI 49037"
34,259735, Beacon Hill,https://freida.ama-assn.org/institution/259735,,,,"1919 Boston St SE, Grand Rapids, MI 49506"
35,259760, Beaumont Health,https://freida.ama-assn.org/institution/259760,"['Oakland Univ William Beaumont Sch of Med', 'Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']",['West Virginia Sch of Osteopathic Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"3601 W 13 Mile Rd, Royal Oak, MI 48073"
36,250366, Beaumont Hospital-Dearborn,https://freida.ama-assn.org/institution/250366,"['Wayne State Univ Sch of Med', 'Oakland Univ William Beaumont Sch of Med']",['Univ of Michigan Med Sch'],"['Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']","18101 Oakwood Blvd, Dearborn, MI 48123-2500"
37,259004, Beaumont Hospital-Farmington Hills,https://freida.ama-assn.org/institution/259004,"['Oakland Univ William Beaumont Sch of Med', 'Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"28050 Grand River Ave, Farmington Hills, MI 48336"
38,250103, Beaumont Hospital-Grosse Pointe,https://freida.ama-assn.org/institution/250103,Oakland Univ William Beaumont Sch of Med,,,"468 Cadieux Rd, Grosse Pointe, MI 48030"
39,259762, Beaumont Hospital-Royal Oak,https://freida.ama-assn.org/institution/259762,,Midwestern Univ Arizona Coll of Osteopathic Med,,"3601 W 13 Mile Rd, Royal Oak, MI 48073"
40,250396, Beaumont Hospital-Royal Oak,https://freida.ama-assn.org/institution/250396,['Oakland Univ William Beaumont Sch of Med'],['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"3601 W 13 Mile Rd, Royal Oak, MI 48073-6769"
41,259024, Beaumont Hospital-Taylor,https://freida.ama-assn.org/institution/259024,"['Wayne State Univ Sch of Med', 'Oakland Univ William Beaumont Sch of Med']",,,"10000 Telegraph, Taylor, MI 48160"
42,259586, Beaumont Hospital-Trenton,https://freida.ama-assn.org/institution/259586,"['Oakland Univ William Beaumont Sch of Med', 'Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']","['Midwestern Univ Arizona Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med', 'Burrell Coll of Osteopathic Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Pacific Northwest Univ of Health Sciences Coll of Osteopathic Med'],"5450 Fort St, Trenton, MI 48183"
43,250551, Beaumont Hospital-Troy,https://freida.ama-assn.org/institution/250551,['Oakland Univ William Beaumont Sch of Med'],,"['Michigan State Univ Coll of Osteopathic Med', 'Michigan State Univ Coll of Osteopathic Med-Detroit', 'Michigan State Univ Coll of Osteopathic Med-Macomb']","44201 Dequindre Rd, Troy, MI 48098"
44,258399, Beaumont Hospital-Wayne,https://freida.ama-assn.org/institution/258399,['Oakland Univ William Beaumont Sch of Med'],['Midwestern Univ Arizona Coll of Osteopathic Med'],,"33155 Annapolis Ave, Wayne, MI 48184-2493"
45,259584, Berry Surgery Center,https://freida.ama-assn.org/institution/259584,,,,"28500 Orchard Lake Rd, Farmington Hills, MI 48334"
