,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,260343, Abbott-Northwestern Hospital/Allina Health System,https://freida.ama-assn.org/institution/260343,Univ of Minnesota Med Sch,,,"800 E 28th St, Minneapolis, MN 55407"
1,268063, Adult & Pediatric Urology,https://freida.ama-assn.org/institution/268063,,,,"2351 Connecticut Ave S, Sartell, MN 56377"
2,268031, Allina Health,https://freida.ama-assn.org/institution/268031,,Kansas City Univ of Med and Biosciences Coll of Osteopathic Med,,"2925 Chicago Ave, Minneapolis, MN 55407"
3,269548, Alltyr Inc,https://freida.ama-assn.org/institution/269548,,,,"332 Minnesota St, St Paul, MN 55101"
4,268079, Alzheimer's Disease Research Center,https://freida.ama-assn.org/institution/268079,,,Mayo Clinic Alix Sch of Med,"4111 Hwy 52 N, Rochester, MN 55901"
5,260736, American Red Cross Blood Services-St Paul Region,https://freida.ama-assn.org/institution/260736,,,Univ of Minnesota Med Sch,"100 S Robert St, St Paul, MN 55107-1489"
6,268132, Assertive Community Treatment (ACT),https://freida.ama-assn.org/institution/268132,,,Mayo Clinic Alix Sch of Med,"2100 Campus Dr, Rochester, MN 55904"
7,269547, Assisi Heights,https://freida.ama-assn.org/institution/269547,,,Mayo Clinic Alix Sch of Med,"1001 14th St NW, Rochester, MN 55901"
8,268130, Associated Skin Care Specialists,https://freida.ama-assn.org/institution/268130,,,,"500 Osborne Rd, Fridley, MN 55432"
9,268085, Augustana Care Corporation,https://freida.ama-assn.org/institution/268085,,,,"1007 E 14th St, Minneapolis, MN 55404"
10,268086, Benedictine Health Center of Minneapolis,https://freida.ama-assn.org/institution/268086,,,,"618 E 17th St, Minneapolis, MN 55404"
11,268125, Bethel University Athletic Department,https://freida.ama-assn.org/institution/268125,,Univ of Minnesota Med Sch,,"3900 Bethel Dr, St Paul, MN 55112"
12,269532, Burnsville Savage Eagan Independent School District 191,https://freida.ama-assn.org/institution/269532,,Univ of Minnesota Med Sch,,"100 River Ridge Ct, Burnsville, MN 55337"
13,269510, Center for Diagnostic Imaging (CDI),https://freida.ama-assn.org/institution/269510,,Univ of Minnesota Med Sch,,"5775 Wayzata Blvd, Minneapolis, MN 55416"
14,269514, CentraCare Clinic (Little Falls),https://freida.ama-assn.org/institution/269514,,,,"811 2nd St SE, Little Falls, MN 56345"
15,268048, CentraCare Clinic (River Campus),https://freida.ama-assn.org/institution/268048,['Univ of Minnesota Med Sch'],['West Virginia Sch of Osteopathic Med'],,"1200 Sixth Ave N, St Cloud, MN 56303"
16,269515, CentraCare Long Prairie Clinic,https://freida.ama-assn.org/institution/269515,,Univ of Minnesota Med Sch,,"20 Ninth St SE, Long Prairie, MN 56347"
17,269516, CentraCare Melrose Clinic,https://freida.ama-assn.org/institution/269516,,Univ of Minnesota Med Sch,,"525 Main St W, Melrose, MN 56352"
18,269531, CentraCare Sauk Centre,https://freida.ama-assn.org/institution/269531,,Univ of Minnesota Med Sch,,"425 Elm St N, Sauk Centre, MN 56378"
19,268089, Central Clinic,https://freida.ama-assn.org/institution/268089,,Univ of Minnesota Med Sch,,"6300 Walker St, St Louis Park, MN 55426"
20,268049, Central Minnesota Surgeons,https://freida.ama-assn.org/institution/268049,,Univ of Minnesota Med Sch,,"2000 Abbott Northwestern Ct, Sartell, MN 56377"
21,268080, Charter House,https://freida.ama-assn.org/institution/268080,,,Mayo Clinic Alix Sch of Med,"211 Second St NW, Rochester, MN 55901"
22,260740, Children's Hospitals and Clinics of Minnesota-Minneapolis,https://freida.ama-assn.org/institution/260740,['Univ of Minnesota Med Sch'],"['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']","['Mayo Clinic Alix Sch of Med', 'Univ of Wisconsin Sch of Med and Public Health']","2525 Chicago Ave S, Minneapolis, MN 55404-9976"
23,260497, Children's Hospitals and Clinics of Minnesota-St Paul,https://freida.ama-assn.org/institution/260497,['Univ of Minnesota Med Sch'],,"['Mayo Clinic Alix Sch of Med', 'Univ of Wisconsin Sch of Med and Public Health']","345 N Smith Ave, St Paul, MN 55102"
24,269523, City of Edina Fire Department,https://freida.ama-assn.org/institution/269523,,,,"6150 Tracy Ave, Minneapolis, MN 55436"
25,268081, Comfort Home Health Care,https://freida.ama-assn.org/institution/268081,,,,"2746 Superior Dr NW, Rochester, MN 55901"
26,268110, Community University Health Care Clinic-Teen Clinic,https://freida.ama-assn.org/institution/268110,,Univ of Minnesota Med Sch,,"2001 Bloomington Ave S, Minneapolis, MN 55404"
27,269502, Cottagewood Senior Communities,https://freida.ama-assn.org/institution/269502,,,Mayo Clinic Alix Sch of Med,"4220 55th St NW, Rochester, MN 55901"
28,269524, Crosstown Surgery Center,https://freida.ama-assn.org/institution/269524,,,,"4010 W 65th St, Edina, MN 55435"
29,260500, Duluth Graduate Medical Education Council,https://freida.ama-assn.org/institution/260500,,,,"330 N Eighth Ave E, Duluth, MN 55805"
30,260011, Eagan Orthopedic Surgery Center,https://freida.ama-assn.org/institution/260011,,,,"2700 Vikings Cir, Eagan, MN 55121"
