,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,279521, Anderson Regional Health System,https://freida.ama-assn.org/institution/279521,,,,"2124 14th St, Meridian, MS 39301"
1,279513, Baptist Memorial Hospital-Golden Triangle,https://freida.ama-assn.org/institution/279513,,Geisel Sch of Med at Dartmouth,,"2520 Fifth St N, Columbus, MS 39705"
2,279515, Baptist Memorial Hospital-North Mississippi,https://freida.ama-assn.org/institution/279515,,,,"2301 S Lamar, Oxford, MS 38655"
3,270032, Baptist Memorial Hospital-Union County,https://freida.ama-assn.org/institution/270032,,,,"200 Hwy 30 W, New Albany, MS 38652"
4,279505, Brentwood Behavioral Healthcare,https://freida.ama-assn.org/institution/279505,,,Univ of Mississippi Sch of Med,"3531 Lakeland Dr, Flowood, MS 39232"
5,270007, Children's of Mississippi Gulf Coast Clinic,https://freida.ama-assn.org/institution/270007,,,,"1721 Medical Part Dr, Biloxi, MS 39532"
6,270040, Community Health Center Association of Mississippi,https://freida.ama-assn.org/institution/270040,,,,"6400 Lakeover Rd, Jackson, MS 39213"
7,270005, Delta Health Center,https://freida.ama-assn.org/institution/270005,,,,"702 Martin Luther King Rd, Mound Bayou, MS 38762"
8,270003, Delta Regional Medical Center,https://freida.ama-assn.org/institution/270003,,,,"1400  E Union St, Greenville, MS 38703"
9,278008, Dermatopathology Associates PLLC,https://freida.ama-assn.org/institution/278008,,,Univ of Mississippi Sch of Med,"3120 Old Canton Rd, Jackson, MS 39216"
10,270034, Desoto Children's Clinic,https://freida.ama-assn.org/institution/270034,,,,"7276 Southcrest Pkwy, Southaven, MS 38671"
11,279517, East Central Mississippi Health Network Inc,https://freida.ama-assn.org/institution/279517,,,,"2514 67th Ave Loop, Meridian, MS 39307"
12,279516, EC-HealthNet Rural Regional Primary Care Training Campus,https://freida.ama-assn.org/institution/279516,,,,"144 W Broad St, Decatur, MS 39327"
13,270025, Endocrine Clinic,https://freida.ama-assn.org/institution/270025,,,,"1200 Office Park Dr, Oxford, MS 38655"
14,278003, Forrest General Hospital,https://freida.ama-assn.org/institution/278003,"['Univ of Mississippi Sch of Med', 'William Carey Univ Coll of Osteopathic Med']",,,"6051 US Hwy 49, Hattiesburg, MS 39401"
15,270425, Gulf Coast Veterans Health Care System,https://freida.ama-assn.org/institution/270425,['Univ of South Alabama Coll of Med'],['West Virginia Sch of Osteopathic Med'],['Tulane Univ Sch of Med'],"400 Veterans Ave, Biloxi, MS 39531-2410"
16,279535, Hattiesburg Clinic,https://freida.ama-assn.org/institution/279535,,,,"415 S 28th Ave, Hattiesburg, MS 39401"
17,270016, Hinds Hebavioral Health Services,https://freida.ama-assn.org/institution/270016,,,,"124 South St, Jackson, MS 39201"
18,278011, Hospice Ministries Inc,https://freida.ama-assn.org/institution/278011,,,Univ of Mississippi Sch of Med,"450 Town Center Blvd, Ridgeland, MS 39157"
19,278012, Jackson HMA LLC (Merit Health Central),https://freida.ama-assn.org/institution/278012,,,Univ of Mississippi Sch of Med,"1850 Chadwick Dr, Jackson, MS 39204"
20,279533, Jackson-Hinds Comprehensive Health Center,https://freida.ama-assn.org/institution/279533,,,Univ of Mississippi Sch of Med,"3502 W Northside Dr, Jackson, MS 39213"
21,270371, Keesler Medical Center,https://freida.ama-assn.org/institution/270371,"['Uniformed Services Univ of the Hlth Sci F Edward Hebert Sch of Med', 'William Carey Univ Coll of Osteopathic Med']","['Univ of South Alabama Coll of Med', 'Midwestern Univ Arizona Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med']",,"301 Fisher St, Keesler AFB, MS 39534-2576"
22,279531, Lamar Healthcare and Rehabilitation Center,https://freida.ama-assn.org/institution/279531,,,,"6428 US-11, Lumberton, MS 39455"
23,279509, Magnolia Regional Health Center,https://freida.ama-assn.org/institution/279509,"['Nova Southeastern Univ Dr Kiran C Patel Coll of Osteopathic Med', 'Idaho Coll of Osteopathic Med', 'William Carey Univ Coll of Osteopathic Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']",['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],,"611 Alcorn Dr, Corinth, MS 38834"
24,279512, MEA Medical Clinics,https://freida.ama-assn.org/institution/279512,,,,"1777 Ellis Ave, Jackson, MS 39204"
25,278009, Memorial Hospital at Gulfport,https://freida.ama-assn.org/institution/278009,['William Carey Univ Coll of Osteopathic Med'],['Alabama Coll of Osteopathic Med'],,"4500 Thirteenth St, Gulfport, MS 39501"
26,279511, Merit Health Wesley,https://freida.ama-assn.org/institution/279511,,"['Midwestern Univ Arizona Coll of Osteopathic Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med', 'Burrell Coll of Osteopathic Med', 'West Virginia Sch of Osteopathic Med', 'Lincoln Memorial Univ DeBusk Coll of Osteopathic Med']","['Lake Erie Coll of Osteopathic Med-Bradenton', 'William Carey Univ Coll of Osteopathic Med']","5001 Hardy St, Hattiesburg, MS 39402"
27,279518, Merit Health Woman's Hospital,https://freida.ama-assn.org/institution/279518,,,Univ of Mississippi Sch of Med,"1026 N Flowood Dr, Flowood, MS 39232"
28,270374, Mississippi Baptist Medical Center,https://freida.ama-assn.org/institution/270374,Univ of Mississippi Sch of Med,,,"1225 N State St, Jackson, MS 39201-2002"
29,278010, Mississippi Children's Home (CARES),https://freida.ama-assn.org/institution/278010,,,Univ of Mississippi Sch of Med,"1900 N West St, Jackson, MS 39202"
30,270002, Mississippi Medical Education and Research Consortium,https://freida.ama-assn.org/institution/270002,,,,"PO Box 13040, Jackson, MS 39236"
31,278002, Mississippi Methodist Hospital and Rehabilitation Center,https://freida.ama-assn.org/institution/278002,Univ of Mississippi Sch of Med,,,"1350 Woodrow Wilson Dr, Jackson, MS 39216"
32,279507, Mississippi Premier Plastic Surgery,https://freida.ama-assn.org/institution/279507,,,Univ of Mississippi Sch of Med,"971 Lakeland Dr, Jackson, MS 39216"
33,278001, Mississippi Sports Medicine & Orthopaedic Center,https://freida.ama-assn.org/institution/278001,,,"['Tulane Univ Sch of Med', 'Univ of Mississippi Sch of Med']","1325 E Fortification St, Jackson, MS 39236-6870"
34,279520, Mississippi State Department of Health,https://freida.ama-assn.org/institution/279520,,,Univ of Mississippi Sch of Med,"570 E Woodrow Wilson Dr, Jackson, MS 39216"
35,270268, Mississippi State Hospital,https://freida.ama-assn.org/institution/270268,['William Carey Univ Coll of Osteopathic Med'],,['Univ of Mississippi Sch of Med'],"3550 Hwy 468 W, Whitfield, MS 39193"
36,279528, Mississippi State Medical Association,https://freida.ama-assn.org/institution/279528,,,Univ of Mississippi Sch of Med,"408 W Parkway Pl, Ridgeland, MS 39157"
37,279506, Mississippi State Medical Examiner's Office,https://freida.ama-assn.org/institution/279506,,,,"1700 Woodrow Wilson Ave, Jackson, MS 39216"
38,279514, Neuroscience Center of Singing River Health Center,https://freida.ama-assn.org/institution/279514,,,,"3603 Bienville Blvd, Ocean Springs, MS 39564"
39,279502, New South NeuroSpine LLC,https://freida.ama-assn.org/institution/279502,,,Univ of Mississippi Sch of Med,"2470 Flowood Dr, Flowood, MS 39232"
40,270033, North East Mississippi Health Care-Desoto Community Medical Center,https://freida.ama-assn.org/institution/270033,,,,"7535 Airways Blvd, Southaven, MS 38671"
41,277005, North Mississippi Medical Center,https://freida.ama-assn.org/institution/277005,"['Univ of Mississippi Sch of Med', 'William Carey Univ Coll of Osteopathic Med']",['Lincoln Memorial Univ DeBusk Coll of Osteopathic Med'],,"830 S Gloster St, Tupelo, MS 38801-4934"
42,270023, Open Arms Healthcare Center,https://freida.ama-assn.org/institution/270023,,,,"805 E River Pl, Jackson, MS 39202"
43,270027, Oxford Neurology Clinic,https://freida.ama-assn.org/institution/270027,,,,"2908 S Lamar Blvd, Oxford, MS 38655"
44,270026, Region 8 Mental Health Services,https://freida.ama-assn.org/institution/270026,,,,"613 Marquette Rd, Brandon, MS 39042"
45,279503, River Oaks Health System,https://freida.ama-assn.org/institution/279503,['William Carey Univ Coll of Osteopathic Med'],,['Univ of Mississippi Sch of Med'],"1030 River Oaks Dr, Flowood, MS 39232"
46,279508, Runnels Center Clinic and Spa,https://freida.ama-assn.org/institution/279508,,,,"1055 River Oaks Dr, Flowood, MS 39232"
47,279510, Rush Foundation Hospital,https://freida.ama-assn.org/institution/279510,,,Univ of Pikeville Kentucky Coll of Osteopathic Med,"1314 19th Ave, Meridian, MS 39301"
48,270006, Select Specialty Hospital,https://freida.ama-assn.org/institution/270006,,,,"5903 Ridgewood Ave, Jackson, MS 39211"
49,270004, South Sunflower County Hospital,https://freida.ama-assn.org/institution/270004,,,,"121 E Baker St, Indianola, MS 38751"
50,279529, Southeast Mississippi Rural Health Initiative,https://freida.ama-assn.org/institution/279529,,,,"5488 US 49, Hattiesburg, MS 39401"
51,270018, Southwest Mississippi Regional Medical Center,https://freida.ama-assn.org/institution/270018,,,,"215 Marion Ave, McComb, MS 39648"
52,270433, St Dominic-Jackson Memorial Hospital,https://freida.ama-assn.org/institution/270433,,,Univ of Mississippi Sch of Med,"969 Lakeland Dr, Jackson, MS 39216"
