,AMC_No,AMC_Name,URLS,Affiliation_Major,Affiliation_Limited,Affiliation_Graduate,Medical_Center_Address
0,289549, 32nd Street Surgery Center,https://freida.ama-assn.org/institution/289549,,,,"1531 E 32nd St, Joplin, MO 64804"
1,289519, Abbott EMS-St Louis,https://freida.ama-assn.org/institution/289519,,,,"2500 Abbott Pl, St Louis, MO 63143"
2,289556, Access Family Care,https://freida.ama-assn.org/institution/289556,,,,"530 S Maiden Ln, Joplin, MO 64801"
3,289542, Advanced Surgical Associates,https://freida.ama-assn.org/institution/289542,,,,"3460 NE Ralph Powell Rd, Lee's Summit, MO 64064"
4,289520, Air Evac Lifeteam,https://freida.ama-assn.org/institution/289520,,,,"306 Davis Dr, West Plains, MO 65775"
5,288188, Allergy & Asthma Specialists of Kansas City,https://freida.ama-assn.org/institution/288188,,,,"6000 N Oak Trafficway, Gladstone, MO 64118-5176"
6,289596, Allergy Consultants,https://freida.ama-assn.org/institution/289596,,,,"456 N New Ballas Rd, Creve Coeur, MO 63141"
7,289532, Alternative Hospice,https://freida.ama-assn.org/institution/289532,,,,"1749 Gilsinn Lane, Fenton, MO 63026"
8,289579, American Red Cross,https://freida.ama-assn.org/institution/289579,,,,"10195 Corporate Square Dr, St Louis, MO 63132"
9,289054, Associated Ophthalmology of Kansas City PC,https://freida.ama-assn.org/institution/289054,,,,"1004 Carondelet, Kansas City, MO 64114"
10,289006, Barnes-Jewish Center Behavioral Health,https://freida.ama-assn.org/institution/289006,,Washington Univ in St Louis Sch of Med,,"1430 Olive St, St Louis, MO 63103-2303"
11,289008, Barnes-Jewish Extended Care,https://freida.ama-assn.org/institution/289008,,,,"401 Corporate Park Dr, Clayton, MO 63105"
12,280146, Barnes-Jewish Hospital,https://freida.ama-assn.org/institution/280146,Washington Univ in St Louis Sch of Med,,,"One Barnes-Jewish Hospital Plaza, St Louis, MO 63110"
13,280210, Barnes-Jewish Hospital (South Campus),https://freida.ama-assn.org/institution/280210,,,,"216 S Kingshighway, St Louis, MO 63110"
14,288173, Barnes-Jewish West County Hospital,https://freida.ama-assn.org/institution/288173,Washington Univ in St Louis Sch of Med,,,"12634 Olive St Rd, St Louis, MO 63146354"
15,289534, Beauvais Manor on the Park,https://freida.ama-assn.org/institution/289534,,,,"3625 Magnolia Ave, St Louis, MO 63110"
16,289598, Big River Nursing Home,https://freida.ama-assn.org/institution/289598,,,,"6400 The Cedars Ct, Cedar Hill, MO 63016"
17,289571, BJC Corporate Health Services (BarnesCare),https://freida.ama-assn.org/institution/289571,,"['Southern Illinois Univ Sch of Med', 'Kansas City Univ of Med and Biosciences Coll of Osteopathic Med']",,"5000 Manchester Ave, St Louis, MO 63110"
18,289573, Bluffs,https://freida.ama-assn.org/institution/289573,,Univ of Missouri-Columbia Sch of Med,,"3105 Bluff Creek Dr, Columbia, MO 65201"
19,287035, Boone Hospital Center,https://freida.ama-assn.org/institution/287035,['Univ of Missouri-Columbia Sch of Med'],['Kansas City Univ of Med and Biosciences Coll of Osteopathic Med'],,"1600 E Broadway, Columbia, MO 65201"
20,280036, Bothwell Regional Health Center,https://freida.ama-assn.org/institution/280036,Univ of Missouri-Columbia Sch of Med,,,"601 E 14th St, Sedalia, MO 65301"
21,289552, Briarcliff Surgery Center,https://freida.ama-assn.org/institution/289552,,,,"4150 N Mulberry Dr, Kansas City, MO 64116"
22,289048, Bridgeway Behavioral Health,https://freida.ama-assn.org/institution/289048,,,,"1570 S Main St, St Charles, MO 63303"
