AMC_No,AMC_Name
010027 , Accordia Health & Wellness
019190 , Aesthetic Dermatology
018058 , Alabama Allergy and Asthma Center
010048 , Alabama Department of Forensic Sceinces-Mobile
018032 , Alabama Department of Forensic Sciences
010532 , Alabama Department of Forensic Sciences (Auburn)
018095 , Alabama Dermatology Associates
018024 , Alabama Orthopaedic and Spine Center at Medical Center East
019168 , Alabama Orthopaedic Clinic PC
018045 , AlaCare Home Health and Hospice
019181 , Aliceville Manor Nursing Home
018094 , Allgood Eyecare
018041 , Alta Pointe Health Systems
019153 , Alta Pointe Health Systems-Children's Outpatient Clinic
010086 , AltaPointe Health
018072 , Amedysis Hospice Services (Homewood)
018004 , American Red Cross Blood Services-Alabama Region
018009 , American Sports Medicine Institute
018054 , Andrews Sports Medicine and Orthopedic Center
019175 , Arbor Woods Health and Rehabilitation
010051 , Auburn University Sports Medicine Clinic
019171 , Baldwin Bone and Joint PC
010055 , Baldwin Nephrology LLC
018018 , Baptist Medical Center East
010309 , Baptist Medical Center South
018012 , Baptist Outreach Services
018090 , BayPointe Hospital
018092 , Bibb Medical Center
018074 , Big Springs Specialty Care Center
010073 , Birmingham Fire and Rescue
018083 , Black Warrior Physical Therapy
010006 , Brewton Medical Center
019186 , Bridge Adolescent Substance Abuse Program
010519 , Brookwood Baptist Health
018023 , Brookwood Medical Center
019169 , Bryan W Whitfield Memorial Hospital
017014 , Bryce Hospital
018091 , Cahaba Medical Care
010502 , Callahan Eye Hospital
018089 , Cancer Surgery of Mobile PC
019158 , Capstone Village
018061 , Cardiology Associates
010074 , Center Point Fire and Rescue
010306 , Central Alabama Veterans Healthcare System
010497 , Children's Hospital of Alabama
018096 , Comfort Care Hospice
010511 , Cooper Green Mercy Health Services
010007 , Crestwood Medical Center
010098 , Crestwood Medical Center Family Medicine Health and Wellness Center
019204 , DaVita Inc
010510 , DCH Regional Medical Center
018021 , Department of Health (Jefferson County)
018038 , Department of Youth Service (VACCA)
018039 , Department of Youth Services (Chalkville)
019191 , Dermatology and Laser of Alabama
018015 , Dermatology Associates
018031 , Dermatopathology Services PC
019188 , DermLab
018070 , Diagnostic and Medical Clinic
019193 , Drayer Physical Therapy Institute
010017 , East Alabama Medical Center
018059 , Eastern Pulmonary and Sleep Medicine
018071 , Fairhaven Retirement Center
018027 , Family Court of Jefferson County
010010 , Felix Morris MD LLC Office
019194 , Flowers Hospital
019192 , Foley Hospital Corporation/South Baldwin Regional Medical Center
019156 , Forest Manor Nursing Home
010016 , Gadsden Regional Medical Center
018028 , Glenwood Mental Health Services Inc
010307 , Grandview Medical Center
019185 , Grotting Plastic Surgery
010056 , Haley Dermatology
010057 , Heart Group of the Eastern Shore
018097 , Hospice Advantage
019176 , Hospice of West Alabama
010507 , Huntsville Hospital
018093 , Indian Rivers Community Mental Health Center
018010 , Infirmary West
010012 , Internal Medicine Residency Clinic at NAMC
010079 , J Paul Jones Hospital
018053 , Jack Hughston Memorial Hospital
018019 , Jackson Hospital
018029 , Jefferson County Board of Education
010531 , Jefferson County Coroner/Medical Examiner's Office
010075 , Jemison Fire and Rescue
019177 , Journey Hospice
018043 , Kirklin Clinic
019201 , Lemak Sports Medicine & Orthopedics
018044 , Lemoyne Child and Adolescent Outpatient Clinic
019164 , Life Choice Hospice
019178 , Mary Harper Center
010047 , Mitchell-Hollingworth Nursing & Rehabilitation Center
019152 , Mobile County Public Schools-Outpatient Consultation
018088 , Mobile Heart Specialists PC
010508 , Mobile Infirmary Medical Center
010310 , Montgomery Regional Medical Center
010049 , Morphy Ambulatory Continuity Clinic
010052 , Nephrology Associates
018047 , New Beacon Hospice Inc
019200 , North Alabama Medical Center
010011 , North Alabama Neuroservices LLC
010050 , North Baldwin Infirmary
010517 , Northeast Alabama Regional Medical Center
010015 , Northwest Alabama Cancer Center PC
018033 , Norwood Clinic
018087 , Occupational Safety & Health Administration (Mobile Office)
018048 , Odyssey Hospice a Gentiva Company
018073 , Orthopaedic Group PC
018060 , Pediatric and Adult Asthma & Allergy PC
019182 , Pickens County Medical Senior Care
019174 , Pickens County Primary Care
019155 , Prattville Baptist Hospital
019195 , PrimeCare of Dothan
010187 , Princeton Baptist Medical Center
018016 , Providence Hospital (Mobile)
019172 , Psychiatry South
010076 , Regional Air-Medical Services
019197 , Russell Medical Center
010530 , Searcy State Hospital
019173 , Shelby Baptist Medical Center
010013 , Shoals Kidney and Hypertension Center
019154 , Skin Diagnostic Group PC
018034 , Skin Pathology Associates
018040 , Sleep Disorder Center of Alabama
019187 , Southeast Health
019196 , Southern Bone and Joint Specialists
010053 , Southern Orthopedic Surgeons
018017 , Springhill Memorial Hospital
018052 , St Martin's at the Pines
010196 , St Vincent's Birmingham
010515 , St Vincent's East
018062 , Surgical Dermatology Group
018077 , Surgical Dermatology Group (Huntsville)
018063 , Surgical Dermatology Group (Montgomery)
018014 , Taylor Hardin Secure Medical Facility
010008 , Tennessee River Dermatology
010014 , Tennessee Valley Gastroenterology
018020 , Thomas Hospital
017003 , UAB Hospital Highlands
019170 , UAB Medical West
019150 , United States Army School of Aviation Medicine
018008 , University of Alabama at Birmingham School of Public Health
018086 , University of Alabama Athletics Department
010498 , University of Alabama Hospital
010527 , University of Alabama School of Medicine
010523 , University of Alabama School of Public Health
018057 , University of Alabama Sports Medicine Clinic
018025 , University of Alabama-Tuscaloosa
018084 , University Orthopedic Clinic
019166 , US Army Aeromedical Activity
018035 , US Army Aeromedical Center
018076 , USA Center for Lung Biology
019151 , USA Department of Psychiatry
010406 , USA Health
018011 , USA Health Children's and Women's Hospital
018013 , USA Health University Hospital
018081 , USA Mitchell Cancer Institute
010033 , USA Mobile Diagnostic Center-University Commons
010004 , USA Strada Patient Care Center
018080 , VA Outpatient Clinic
010512 , Vaughan Regional Medical Center
010500 , Veterans Affairs Medical Center (Birmingham)
018079 , Vitas Innovative Hospice-Bessemer
018056 , West Alabama Family Practice and Sports Medicine
010005 , West Mobile Medical Group
018075 , Whitesburg Gardens Health Care Center
019167 , Windsor House
