AMC_No,AMC_Name
030004 , Abrazo Arizona Heart Hospital
030003 , Abrazo Arrowhead Campus
030024 , Abrazo Central Campus
030517 , Abrazo Health Network
030050 , Abrazo Medical Group
030002 , Abrazo West Campus
030079 , Acacia Health Center at Sagewood
038081 , Accredited Internal Medicine
030045 , Active Life and Pain Center
039608 , Advanced Desert Dermatology
030118 , Affiliated Dermatology Ahwatukee
030119 , Affiliated Dermatology Anthem
030120 , Affiliated Dermatology Deer Valley
038185 , Affiliated Dermatology Scottsdale
039584 , Aiello Eye Institute
038169 , Air Methods Corporation
038210 , Alta Dermatology Group
039591 , Arizona Associates for Reproductive Health
038130 , Arizona Cancer Center at UMC Orange Grove
030037 , Arizona Cardiovascular and Thoracic Surgeons
039621 , Arizona Center for Cancer Care
038144 , Arizona Center for Hand Surgery PC
038113 , Arizona Children's Association
038042 , Arizona Community Physicians (Tucson)
038055 , Arizona Department of Health Services
038033 , Arizona Heart Institute and Hospital
038135 , Arizona Kidney Disease & Hypertension Ambulatory Surgery Center
038097 , Arizona Oncology Gynecology Clinic
038091 , Arizona Otolaryngology Consultants PC
038037 , Arizona Poison and Drug Information Center
038122 , Arizona Poison and Drug Information Center (AZPDIC)
038098 , Arizona Reproductive Medicine Specialists (Downtown Phoenix)
030082 , Arizona Sports Medical Center/Abrazo Medical Group
030502 , Arizona State Hospital
038047 , Arizona State University (Tempe)
038060 , Arizona Telemedicine Network
038126 , Arrowhead Hospital and Medical Center
039626 , Arthritis Health Ltd
039586 , Assurance Health and Wellness Center
030033 , Atria Heart Cardiac Clinic
030097 , Auberge at Peoria
030054 , Aurora Behavioral Healthcare-Tempe LLC
039562 , Aurora Diagnostics Arizona Dermatopathology
038168 , Banner Alzheimer's Institute
038048 , Banner Behavioral Health Hospital (Scottsdale)
030020 , Banner Behavioral Health Outpatient Clinic
038026 , Banner Boswell Medical Center
038106 , Banner Del E Webb Medical Center
030516 , Banner Desert Medical Center
038066 , Banner Estrella Medical Center
038109 , Banner Gateway Medical Center
030098 , Banner Health Center Peoria
030151 , Banner Ironwood Medical Center
039588 , Banner Medical Group
039617 , Banner Payson Medical Center
038191 , Banner Surgicenter
038044 , Banner Thunderbird Medical Center
030345 , Banner University Medical Center-Phoenix
038142 , Banner-University Medical Center South
