AMC_No,AMC_Name
049510 , Advanced Orthopaedic Specialists
049522 , ARcare
040013 , ARcare AIDS Education & Training Center
040474 , Area Health Education Center-Fort Smith
040480 , Area Health Education Center-Northeast
040470 , Area Health Education Center-Northwest
040464 , Area Health Education Center-Pine Bluff
040481 , Area Health Education Center-South Arkansas
040040 , Arisa Health-North Little Rock
040284 , Arkansas Children's Hospital
040002 , Arkansas College of Osteopathic Medicine
048027 , Arkansas Department of Corrections Special Programs Unit
049528 , Arkansas Digestive Disease Clinic
048056 , Arkansas Fertility and Gynecology Associates
040484 , Arkansas Health Center
048030 , Arkansas Heart Hospital
048060 , Arkansas Hospice Inc
048058 , Arkansas Juvenile Assessment and Treatment Center
040026 , Arkansas Renal Group
048062 , Arkansas Skin Cancer Center
048021 , Arkansas State Crime Laboratory
040307 , Arkansas State Hospital (DBHS)
049506 , Arkansas Urology
049550 , Arkansas Veterans Home at Fayetteville
040009 , Arthritis and Rheumatism Associates
049553 , Baptist Health Medical Center-North Little Rock
048048 , Baptist Health North Little Rock Rehabilitation Center
048015 , Baptist Health Rehabilitation Institute of Arkansas
040020 , Baptist Health-Fort Smith
049549 , Baptist Health-UAMS
040350 , Baptist Medical Center
049538 , Beebe Retirement Center Inc
049562 , Bowen Hefley Rhodes Stewart Orthopedics
040349 , Central Arkansas Veterans Healthcare System
048059 , Chenal Heights Nursing and Rehabilitation
040029 , CHI St Vincent Gastroenterology Clinic
040463 , CHI St Vincent Infirmary Medical Center
049520 , CHI St Vincent Little Rock Diagnostic Clinic
049630 , CHI St Vincent-Hot Springs
048043 , Children's Clinic
047012 , Christus St Michael Health System
048037 , Clopton Clinic
040025 , Conway Regional Health System
040008 , Conway Regional Medical Center
049559 , Conway Regional Physician Hospital Organization
048032 , Cooper Clinic
040041 , Dardanelle Regional Medical Center
048047 , Dennis Developmental Center
040031 , Dermatology Center
040001 , E J Jones MD-Ob/Gyn Office
049552 , Fort Smith Rheumatology
040027 , Genesis Cancer Center
048065 , Grace Healthcare of Maumelle
049541 , Greater Assistance for Those in Need (GAIN)
048035 , Greater Ozarks-Arkansas Region Lowery Blood Center
040035 , Greenhurst Nursing Center
049561 , Highlands Oncology Group
048061 , Hospice Home Care (Little Rock Inpatient)
040465 , Jefferson Regional Medical Center
040015 , Johnson Dermatology
048038 , Jonesboro Surgical Associates
048050 , Lakewood Nursing And Rehabilitation Center
040018 , Legacy Health and Rehabilitation Center
049533 , Lowery Medical-Surgical Eye Center
049505 , Magnolia Regional Medical Center
048039 , Matthews Clinic
040476 , Medical Center of South Arkansas (Union Medical Center)
040477 , Medical Center of South Arkansas (Warner Brown Hospital)
040264 , Mercy Hospital Fort Smith
040263 , Mercy Northwest Arkansas
048044 , Methodist Behavioral Hospital
040019 , Methodist Health and Rehab
049560 , Mocek Spine Center
040483 , NEA Baptist Memorial Hospital
048040 , NEA Clinic/General Surgery
049530 , Neurology Clinic of Arkansas
048051 , Northridge Healthcare and Rehabilitation
049543 , NorthStar EMS
048023 , Northwest Medical Center
040033 , Oak Manor Nursing Home
049527 , Oakdale Nursing Center
048042 , Ob/Gyn Associates Ltd
048041 , Otolaryngology and Facial Surgery Center
048045 , Ouachita County Medical Center
040034 , Paris Health and Rehabilitation Center
049509 , Physicians' Specialty Hospital
048053 , Pleasant Valley Living Center
049529 , Practice Management Services Inc
048049 , Premier Health and Rehabilitation LLC
048055 , Presbyterian Village
049512 , Skin Surgery Specialists
049556 , Southeast Arkansas Behavioral Healthcare
048033 , Sparks Medical Foundation
040467 , Sparks Regional Medical Center
049551 , Springdale Health and Rehabilitation Center
040478 , St Bernards Medical Center
048028 , Stone County Medical Center
049502 , UAMS Centers for Children
040261 , UAMS Medical Center
040262 , UAMS Northwest
048018 , UAMS Regional Centers
049514 , Unity Health-White County Medical Center
049513 , University of Arkansas Department of Athletics
049501 , University of Arkansas for Medical Sciences (UAMS) College of Medicine
048034 , Veteran Affairs Medical Center (Fayetteville)
040473 , Washington Regional Medical Center
049507 , West Markham Subacute & Rehabilitation Center
048188 , White River Health System
048026 , White River Medical Center
049555 , Wilbur D Mills Treatment Center
048046 , Willow Creek Women's Hospital
049563 , Wood-Lawn Heights
048054 , Woodland Hills Rehabilitation and Health Care
