AMC_No,AMC_Name
078112 , Air Methods Corporation
078033 , Anshutz Centers for Advanced Medicine at University of Colorado Hospital
078013 , Aspen Sports Medicine Foundation
070040 , Aurora Mental Health-The Stith Center
078019 , Avista Hospital
078121 , Berenbeim Osteopathic PC
078126 , Blue Sky Neurology-Aurora
078025 , Bonfils Blood Center
078052 , Boulder Community Hospital
070027 , Castle Pines Urgent Care
070021 , Castle Rock Adventist Hospital
078051 , Centers for Disease Control and Prevention
070053 , Centura Health Corporation
070378 , Children's Hospital Colorado
078114 , Children's Hospital Colorado North Campus (Broomfield)
078036 , Clinica Campesina
078059 , Clinimmune Labs
070024 , Colorado Center for Personalized Medicine (CCPM) Biobank
078026 , Colorado Department of Corrections
078037 , Colorado Department of Public Health and Environment
078034 , Colorado Foundation for Medical Care
078068 , Colorado Genetics Laboratory UC Denver
070469 , Colorado Mental Health Institute at Fort Logan
078024 , Colorado Mental Health Institute at Pueblo
078072 , Colorado Mesa University
070004 , Colorado Neurology Center
078092 , Colorado Plains Medical Center
078050 , Colorado School of Public Health
070052 , Colorado Skin Surgery & Dermatology
078057 , Colorado State Veterans Home at Fitzsimons
078077 , Concentra Inc Occupational Medicine Department
078108 , Cornerstone Family Practice/Sky Ridge Family Medicine
078028 , Craig Hospital
078049 , Crested Butte Medical Center
078125 , Denver Back Pain Specialists
078064 , Denver Health Eastside Neighborhood Health Center
070280 , Denver Health Medical Center
078065 , Denver Health Webb Clinic
078063 , Denver Health Westside Neighborhood Health Center
078058 , Denver Hospice
078048 , Denver Office of the Medical Examiner
078053 , Denver Police Crime Laboratory
078046 , Dermatopathology Services LLC
070011 , Doctors Care
078127 , DU Health and Counseling Center
078031 , El Paso County Coroner's Office (Colorado Springs)
070718 , Evans US Army Community Hospital
078054 , Exempla Lutheran Southwest Medical Center
078122 , Family Health Care Center
070461 , Fitzsimons Army Medical Center
078081 , Flight for Life Colorado
078089 , HCA HealthOne
070043 , HCA HealthOne Centennial Medical Plaza
070028 , HCA HealthOne Centennial Primary Care
078101 , HCA HealthOne Medical Center of Aurora
078102 , HCA HealthOne North Suburban Medical Center
070277 , HCA HealthOne Presbyterian-St Luke's Medical Center
078099 , HCA HealthOne Rocky Mountain Hospital for Children
070269 , HCA HealthOne Rose Medical Center
078110 , HCA HealthOne Sky Ridge Medical Center
078020 , HCA HealthOne Swedish Medical Center
078038 , Health District of Northern Larimer County
070096 , Health Images
070030 , Health Images-Aurora
070036 , Health Images-Cherry Hills
078124 , Health Images-Littleton
078137 , Heidi Oster MD PC-Ob/Gyn Office
078129 , Hughes Medical Consulting
078014 , Immunological Associates of Denver
078085 , Innovage Adult Care
078039 , Jefferson County Health and Environment
078027 , Kaiser Permanente Health Care Group (Denver)
070014 , Life Care Center Aurora
078090 , Littleton Adventist Hospital
070006 , Lone Tree Family Practice
070003 , Margolis Vision
078056 , Medical Center of The Rockies
078029 , Mediplex Rehabilitation Hospital
078103 , Memorial Hospital Central
070007 , Moore Orthopedic
078044 , Mountain Medical Clinic (Buena Vista)
070287 , National Jewish Health
078141 , Neurology of the Rockies
070348 , North Colorado Medical Center
078074 , Occupational Health Services of Poudre Valley Health Systems
078120 , Osteopathic Integrative Medicine
078047 , Panorama Orthopedics & Spine Center
078115 , Panorama Orthopedics and Spine-Westminister CO
070051 , Parker Adventist Hospital
078134 , Parker Family Care
070029 , Parkview Cardiac and Vascular Diagnostic Center
078093 , Parkview Medical Center
078113 , Peak View Behavioral Hospital
078105 , Peak Vista Community Health Center
070327 , Penrose-St Francis Health Services
078040 , Plan de Salud del Valle Inc
078030 , Porter Adventist Hospital
070705 , Poudre Valley Hospital
078107 , Professional Rehabilitation and Occupational Services
070213 , Provenant Mercy Medical Center
078096 , Prowers Medical Center
070025 , Pueblo Cardiology Associates
078146 , Ridgeline Family and Sports Medicine
078071 , Rocky Mountain Orthopedic Assoc (RMOA)
078123 , Rocky Mountain Osteopathic Medicine and Physicial Therapy
078104 , Rocky Mountain Osteopathic Postograduate Training Institution (RMOPTI)
078069 , Rocky Mountain Poison and Drug Center
070157 , Rocky Mountain Regional VA Medical Center
078100 , Rocky Mountain Senior Care
078109 , Rocky Vista Health Center
078042 , Rowan Community
070026 , Russak Personalized Medicine
078094 , San Luis Valley Health Regional Medical Center
070008 , Scala Medical
070063 , SCL Health Medical Group-Denver Sports Medicine
078128 , South Denver Rheumatology
078021 , Southwest Memorial Hospital-Southwest Health System
078043 , St Anthony Copper Mountain Medical Clinic
078023 , St Anthony Hospital Central
070351 , St Anthony Hospital North
070451 , St Joseph Hospital Inc
070713 , St Mary's Hospital and Medical Center
070360 , St Mary-Corwin Medical Center
078032 , Steadman Hawkins Clinic (Denver)
078018 , Steadman Philippon Research Institute
078091 , Sterling Regional Medical Center
078045 , Sunrise Community Health Inc
078073 , Telluride Medical Clinic
078078 , The Kempe Center
078041 , Tri-County Health Department
070054 , UCHealth Lone Tree Medical Center
078066 , University Medicine Anschutz
078067 , University Medicine-Denver at Lowry
070075 , University of Colorado Comprehensive Women's Health Center
078080 , University of Colorado Cosmetic Specialists
078022 , University of Colorado Hospital
070313 , University of Colorado School of Medicine
078035 , University of Colorado School of Medicine Laboratories
078062 , Uptown Primary Care
078017 , Vail Valley Medical Center
078016 , Wray Community District Hospital
