AMC_No,AMC_Name
088015 , Albert J Solnit Children's Center-South Campus
088085 , Amberwoods of Farmington
088053 , American Cancer Society-Southern New England Region
088036 , APT Foundation Inc Substance Abuse Treatment
088057 , BHcare
088065 , Bridgeport Health Care Center
080359 , Bridgeport Hospital
088024 , Capital Region Education Council Polaris Center
088080 , Central Connecticut State University Department of Athletics
088043 , Children's Center of Hamden
088017 , Community Mental Health Services of Southeastern Connecticut
080407 , Connecticut Children's Medical Center
088023 , Connecticut Dept of Corrections Manson Youth Facility
080005 , Connecticut Division of Scientific Services
088041 , Connecticut Hospice Inc
088075 , Connecticut Institute for Communities Inc
080715 , Connecticut Mental Health Center
080723 , Connecticut Red Cross Blood Services
080006 , Connecticut State Police Central District Major Crime Unit
080214 , Connecticut Valley Hospital
080363 , Danbury Hospital
507015 , Danbury Hospital-Western Connecticut Health Network
088074 , Eastern Connecticut Health Network
088108 , ECHN Neuromusculoskeletal Medicine
088072 , Endocrine Associates of Connecticut
088070 , Endocrinology and Metabolism Specialists
088069 , Fair Haven Community Health Center
088094 , Fair Haven Community Health Clinic
088112 , Family Health Center-Southwest
088037 , Garner Correctional Institution
088021 , Gaylord Hospital
088062 , Glastonbury Surgery Center
088073 , Golden Hill Health Care Center
080257 , Greenwich Hospital
080172 , Griffin Hospital
088038 , Hamden Health Care Center
088071 , Hammers Healthcare Imaging
088058 , Hand Center
080275 , Hartford Hospital
088042 , Hartford Surgery Center
088022 , Hebrew Home and Hospital
088055 , Hill Health Center
088034 , Hospital for Special Care
080372 , Hospital of Central Connecticut
080244 , Hospital of St Raphael
080400 , Institute of Living
088067 , Internal Medicine of Clinton
088060 , Jefferson Radiology PC
088039 , Jewish Home for the Elderly
080442 , Lawrence + Memorial Hospital
088098 , Lord Chamberlain Nursing and Rehabilitation Center
088040 , Masonicare
080135 , Middlesex Hospital
088066 , Milford Health Care Center Inc
080316 , Mount Sinai Hospital
088048 , Naugatuck Valley Health Department
088020 , New Haven State Attorney's Office
088027 , Norwalk Community Health Center
080206 , Norwalk Hospital
088061 , Optimus Health Care
088095 , Orthopaedic Sports Specialist PC
088059 , Orthopedic Associates of Hartford PC
088102 , Orthopedic Associates Surgery Center
088025 , Plancher Orthopaedics & Sports Medicine
088026 , Plancher Orthopaedics and Sports Medicine (Connecticut)
088050 , Planned Parenthood (New Haven Center)
088109 , Quinnipiac University Frank H Netter MD School of Medicine
088086 , Reservoir-Genesis HealthCare
088035 , Rushford Hartford Healthcare (Meriden)
088082 , Seabury Retirement Community
088107 , Sharon Hospital
080004 , Southington Surgery Center
080490 , St Francis Hospital and Medical Center
080502 , St Joseph Medical Center
080458 , St Mary's Hospital
080341 , St Vincent's Medical Center
080456 , Stamford Hospital
088047 , State of Connecticut Department of Public Health
088018 , State of Connecticut Medical Examiner's Office
087003 , Uncas on Thames Hospital
080501 , Univ of Connecticut Health Center/John Dempsey Hospital
080445 , University of Connecticut School of Medicine
080199 , VA Connecticut Healthcare System (West Haven)
080493 , VA Connecticut-Newington
088089 , Vitas Hospice
080131 , Waterbury Hospital
088032 , Wheeler Clinic
087004 , William W Backus Hospital
088077 , Yale Dermatologic Surgery
080716 , Yale Health
088019 , Yale Law School
080505 , Yale University School of Public Health
080433 , Yale-New Haven Hospital
080711 , Yale-New Haven Psychiatric Hospital
