AMC_No,AMC_Name
090007 , ABC Pediatrics
238081 , Armed Forces Medical Examiner System
098081 , Armed Forces Medical Examiner System
090002 , Bayhealth Hospital-Sussex Campus
090248 , Bayhealth Medical Center
090009 , Beebe Healthcare
098082 , Beebe Medical Center
090019 , Brandywine Counseling and Community Services Inc
098020 , Christiana Care Center for Urogynecology and Pelvic Surgery
090247 , Christiana Care Health Services Inc
098085 , Christiana Hospital
090004 , CNMRI-Milford Office
098004 , Community Mental Health Clinic-Dover
098005 , Community Mental Health Clinic-Wilmington
090297 , Delaware Division of Substance Abuse and Mental Health
090005 , Delaware Eye Care Center
090022 , Delaware Hospice
090021 , DSAMH Bridge Clinic New Castle
098017 , Fresenius Brandywine Home Therapies
098014 , Fresenius Medical Care (Wilmington)
090008 , Infusion Solutions of Delaware LLD-Dover Office
098086 , Kent Sussex Counseling Services
090006 , Kids and Teens Pediatrics
098009 , Mid Atlantic Pain Institute PA
098010 , Milton & Hattie Kutz Home Inc
098022 , Morgan Kalman Clinic
090340 , Nemours Children's Health Wilmington
098013 , Nephrology Associates PA
090018 , Norman Broudy MD & Associates
098007 , Office of the Chief Medical Examiner (OCME)
098083 , Planned Parenthood of Delaware Inc
090011 , Psychiatry & Neurology
090015 , Psychiatry Delaware LLC
090010 , RI International-Restart Newark
098012 , Rockford Center
098021 , Roxana Cannon Arsht Surgicenter
090024 , Seasons Hospice and Palliative Care Facility
090014 , Serene Minds LLC
098006 , Silver Lake Treatment Consortium
090709 , St Francis Hospital
098003 , Terry Children's Psychiatric Center
098087 , Thresholds Inc
090013 , TidalHealth Nanticoke
098016 , University of Delaware-Student Health Center
098002 , Veterans Affairs Medical Center (Elsmere)
090462 , Veterans Affairs Medical Center (Wilmington)
098011 , West Side Health
