AMC_No,AMC_Name
119906 , 21st Century Oncology
119565 , 7th Avenue Family Health Center-Broward Health
110109 , A Enrique Whittwell MD Office
118121 , A G Holley Hospital
119765 , Adult and Pediatric Dermatology of South Florida
119766 , Advanced Dermatology & Cosmetic Surgery-Altamonte Springs
119767 , Advanced Dermatology & Cosmetic Surgery-Baldwin Park
119768 , Advanced Dermatology & Cosmetic Surgery-Clermont
119777 , Advanced Dermatology & Cosmetic Surgery-DeLand
119769 , Advanced Dermatology & Cosmetic Surgery-Heathrow
119720 , Advanced Dermatology & Cosmetic Surgery-Maitland
119889 , Advanced Dermatology & Cosmetic Surgery-Miami
119772 , Advanced Dermatology & Cosmetic Surgery-Ocala
119773 , Advanced Dermatology & Cosmetic Surgery-Orlando Downtown
119775 , Advanced Dermatology & Cosmetic Surgery-Ormond Beach
119776 , Advanced Dermatology & Cosmetic Surgery-Oviedo
119778 , Advanced Dermatology & Cosmetic Surgery-Port Orange
119779 , Advanced Dermatology & Cosmetic Surgery-The Villages
119770 , Advanced Dermatology & Cosmetic Surgery-Winter Park
110089 , Advanced Neuroscience Network Physicians-Hialeah
110364 , Advanced Urology Institute
119704 , Advanced Urology Institute LLC
119787 , AdventHealth Altamonte Springs
110402 , AdventHealth Apopka
119103 , AdventHealth Carrollwood
119874 , AdventHealth Celebration
119140 , AdventHealth East Orlando
110078 , AdventHealth Family Medicine Avon Park
110513 , AdventHealth Florida
110103 , AdventHealth for Children
110041 , AdventHealth Kissimmee
119871 , AdventHealth Sebring
119013 , AdventHealth Tampa
119561 , AdventHealth Wesley Chapel
119153 , AdventHealth Winter Park
119833 , Agape Community Health Center Inc
119931 , Agape Network
119563 , Alachua County Emergency Medical Services
119120 , Alachua County School Board
119959 , All Saints Surgery Center
119689 , Allergy & Asthma Center
119877 , Allergy and Immunology Care Center of South Florida
119016 , Allergy Asthma and Immunology Associates of Tampa Bay
110223 , Alysa Herman MD-Dermatology/Mohs Office
110202 , Americare Renal Center
119098 , Andrews Institute Ambulatory Surgery Center
119097 , Andrews Orthopaedics and Sports Medicine Center
119096 , Andrews Research and Education Foundation
119577 , Angel Carrasco MD Neurology Center
119972 , AP Psychiatric & Counseling Services
118095 , Arnold Palmer Hospital for Children
119864 , Arrhythmia Management Institute of South Florida
119739 , Arthritis Specialists PA
110359 , Associates in Nephrology
110025 , Asthma Allergy Center of Florida
110473 , Asthma and Allergy Associates of Florida (Hollywood)
119880 , Aurora Diagnostics Global Pathology
110270 , Aurora/Bernhardt Laboratories
119651 , Aventura Eye Specialists
119554 , Aventura Hospital and Medical Center
119667 , Ayers Health and Rehabilitation Center
110326 , Banyan Treatment Centers
119532 , Baptist Children's Hospital
119580 , Baptist Health Medical Group Family Medicine Center
110389 , Baptist Health Primary Care at BHM MAB
110154 , Baptist Health South Florida
110535 , Baptist Health Surgery Center at Plantation
119107 , Baptist Hospital
110187 , Baptist Hospital of Miami
110119 , Baptist Medical Center
119536 , Baptist Medical Center South
119625 , Barry Cutler MD-Neurological Diagnostic/Therapeutic Practice
119137 , Bay Area Chest Physicians PA
119686 , Bay Dermatology & Cosmetic Surgery PA
110332 , BayCare Behavioral Health-Children's Treatment Center
110337 , BayCare Behavioral Health-Hernando Campus
110331 , BayCare Behavioral Health-Integrated Stabilization Unit
110333 , BayCare Behavioral Health-King Helie Adult Treatment Center
110336 , BayCare Behavioral Health-Life Management Center (Tampa)
110233 , BayCare Health System
119851 , BayCare Urgent Care LLC
110440 , Bayfront Health St Petersburg
110019 , Bayonet Point/Perich Eye Center
110059 , Benjamin Lechner MD FACP Office
119116 , Bertha Abess Children's Center Inc
119142 , Bethesda Hospital East
110164 , Biggers Family Medicine PA
119933 , Bladder Health & Reconstructive Urology Institute/Gousse Urology
119632 , Blake Medical Center
110222 , Blas Reyes MD-Dermatology Office
119552 , Boca Raton Regional Hospital
119613 , Borinquen Health Care Center Inc
119019 , Boulevard Comprehensive Care Center
110225 , Bower Lyman Center for Medically Complex Children
119148 , Brandon Pain Medicine
119604 , Brandon Regional Hospital
119072 , Brooks Rehabilitation Hospital
110065 , Broward Center for Ear Nose Throat & Allergy
119594 , Broward Community and Family Health Centers Inc
110524 , Broward County Medical Examiner's Office
110114 , Broward Health
119856 , Broward Health Coral Springs
119646 , Broward Health Imperial Point
110107 , Broward Health Medical Center
110106 , Broward Health North
119904 , Brown Fertility LLC
119154 , Byrd Alzheimer's Institute
119964 , C L Brumback Primary Care Clinics-West Palm Beach
119753 , Camelot Community Care
119967 , Cancer Center at Larkin
