AMC_No,AMC_Name
148058 , Ali'i Health Center
148027 , Blood Bank of Hawaii
148032 , Castle Medical Center
148039 , Central Medical Clinic
148042 , Charlie Sonido MD-Internal Medicine Office
148021 , Clinical Laboratories of Hawaii
148043 , Dee-Ann Carpenter MD-Internal Medicine Office
148033 , Department of Public Safety-Oahu Community Correctional Center
148019 , DOH AMHD Community Mental Health Centers
148028 , DOH CAMHD Family Guidance Center
148045 , Endoscopy Institute of Hawaii
148055 , Erlaine Bello MD-Internal Medicine Office
148049 , Hale Nani Rehabilitation and Nursing Center
148026 , Hawai'i Youth Correctional Facility DOH CAMHD FCLB
148020 , Hawaii Health Systems Corporation
148025 , Hawaii Health Systems Corporation-Hilo Medical Center
148048 , Hawaii Island Family Health Center
140210 , Hawaii Medical Center (East)
140268 , Hawaii State Hospital
148034 , Hina Mauka-Rehabilitation Clinic
148015 , Honolulu Chief Medical Examiner's Office
148041 , Julie Asari MD Internal Medicine Office
148012 , Kahi Mohala Hospital
148030 , Kaiser Permanente Hawaii
148046 , Kaiser Permanente Hawaii Mapunapuna Clinic
148047 , Kaiser Permanente Honolulu Clinic
140431 , Kaiser Permanente Moanalua Medical Center
148037 , Kalihi-Palama Health Center
140371 , Kapiolani Medical Center for Women and Children
148053 , Kapiolani Medical Specialists
140006 , Kline Welsh Behavioral Health Foundation Sand Island Treatment Center
148060 , Kokua Kalihi Valley Comprehensive Family Services
140004 , Ku Aloha Ola Mau
140425 , Kuakini Medical Center
140430 , Leahi Hospital
148061 , Life Care Center of Hilo
148018 , Marimed Foundation
140005 , McKenna Recovery Center
148038 , Medical Associates Ltd
148057 , Mental Health Kokua
148031 , Moanalua Medical Center and Clinic
148029 , Naval Health Clinic Hawaii
148062 , North Hawaii Community Hospital
148051 , Orthopaedic Associates of Hawaii at Hale Pawaa
148056 , Pali Momi Medical Center
148036 , Pearl City Medical Associates
148052 , Perinatal Addiction Treatment of Hawaii
148022 , Physician Center Family Medicine Clinic
140011 , Planned Parenthood of the Great Northwest and Hawaiian Islands
140429 , Queen's Medical Center
148063 , Queen's Medical Center (West Oahu)
148016 , Rehabilitation Hospital of the Pacific
140300 , Shriners Hospitals for Children (Honolulu)
140440 , Straub Clinic and Hospital
140426 , Tripler Army Medical Center
148054 , University Clinical Education and Research Associates
148023 , University Health Services Manoa
148024 , University of Hawaii Athletic Training Room
140439 , University of Hawaii John A Burns School of Medicine
140433 , University of Hawaii School of Public Health
140444 , VA Pacific Islands Health Care System (Honolulu)
148014 , Wahiawa General Hospital
148059 , Waianae Coast Comprehensive Health Center
148035 , Waikiki Health Center
