AMC_No,AMC_Name
150014, Allumbaugh House Terry Reilly Health Services  
158030, Bingham Memorial Hospital  
158018, Boise Behavioral Health Hospital  
158007, Boise State University Health and Wellness Center  
158022, Family Medicine Health Center Meridian 
158015, Family Medicine Residency of Idaho (Fort Street)  
150714, Full Circle Health  
150018, Full Circle Health Nampa South Clinic  
158013, HCA Healthcare/Eastern Idaho Regional Medical Center  
158029, Idaho Memory and Aging Center  
150012, Idaho Physicians Clinic  
158008, Idaho Sports Medicine Institute  
150013, Idaho State Correctional Institution  
158001, Idaho State University  
150003, Idaho State Veterans Home  
158028, Idaho Urologic Institute  
158016, Kootenai Health  
158012, Madison Memorial Hospital  
158006, Magic Valley Regional Medical Center  
158017, Marquis Care at Shaw Mountain Nursing Home  
150019, Mountain States Institute for GME and Research  
158031, Mountain View Hospital  
158009, Orthopaedic Surgery Center of Idaho  
158024, Panhandle Health District  
158020, Portneuf Medical Center  
158002, Portneuf Regional Medical Center  
150002, Primary Health Medical Group  
150016, Raise the Bottom Boise 
150015, Recovery 4 Life Boise 
150001, Saltzer Medical Group  
150008, Simpson DermCare and Family Medicine  
158019, Southwest Idaho Advanced Care Hospital  
158036, St Alphonsus Medical Center Nampa  
158005, St Alphonsus Medical Group  
150713, St Alphonsus Regional Medical Center  
158010, St Luke's Clinic Jerome Family Medicine  
158011, St Luke's Jerome  
158033, St Luke's Nampa Medical Plaza  
150711, St Luke's Regional Medical Center  
150189, State Hospital South  
158004, Treasure Valley Hospital  
158027, Valley View Nursing and Rehabilitation  
150712, Veterans Affairs Medical Center (Boise)  
158025, Vibra Hospital of Boise  
150017, Walker Center Gooding 
150710, West Valley Medical Center  
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
