AMC_No,AMC_Name
169514, 900 North Michigan Surgery Center   
160166, A McFarland Mental Health Center   
160051, A New You Plastic Surgery and Laser Center   
168116, Access Community Health Network   
168048, Advanced Reproductive Health Center   
160175, Adventist La Grange Memorial Hospital   
160303, Advocate Christ Medical Center   
168067, Advocate Good Samaritan Hospital   
169565, Advocate Health Care   
160411, Advocate Illinois Masonic Medical Center   
160484, Advocate Lutheran General Hospital   
160115, Advocate Ravenswood Medical Center   
160103, Advocate Sherman Hospital   
169572, Advocate South Suburban Hospital   
169588, Aida Spahic Mihajlovic MD Psychiatry 
168110, Alexian Brothers Medical Center   
160042, Alton Memorial Hospital   
160369, Amita Health Adventist Medical Center Hinsdale   
168043, Amita Health Saints Mary and Elizabeth Medical Center   
168045, Amita Health St Alexius Medical Center Hoffman Estates   
160310, Amita Health St Joseph Hospital (Chicago)   
160325, Amita Health St Joseph Medical Center Joliet   
169573, Amita Health St Mary's Hospital   
160264, Ann & Robert H Lurie Children's Hospital of Chicago   
169592, Applewood Rehabilitation Center   
169587, Arcot Dwarakanathan MD Endocrinology  
168142, Argo High School   
160163, Aria Post Acute Care   
160040, Ascension Illinois   
169559, Associated Allergists and Asthma Specialists Ltd   
160178, Associated Surgery Center   
169591, Aunt Martha's Youth Service Center   
160113, Barton Senior Residence of Chicago   
167127, Blessing Hospital   
169510, Bluhm Legal Clinic   
168084, Bradley University Student Health   
160162, Bronzeville Nursing Home   
169574, Burke Medical Group   
160497, Cabrini Hospital   
169564, Cadence Health   
169584, Campbell Health Solutions SC   
160460, Captain James A Lovell Federal Health Care Center   
169610, Carle BroMenn Medical Center   
160146, Carle Foundation Hospital   
169553, Carle Hoopeston Regional Health Center   
168035, Catholic Health Partners   
169512, Center for Athletic Medicine Ltd   
169595, Center for Digestive Health   
169527, Center for Pain Management   
160116, Center Home for Hispanic Elderly   
168085, Central Illinois Dermatology SC   
168039, Chester Mental Health Center   
169507, Chicago Children's Advocacy Center   
168123, Chicago Department of Public Health   
168028, Chicago Lakeshore Hospital   
169549, Chicago Lighthouse   
160748, Chicago Medical School/Rosalind Franklin University of Medicine & Science   
168143, Chicago Primary Care Sports Medicine   
160789, Chicago Read Mental Health Center  
169630, Children's Hospital of Illinois   
169542, Children's Hospital University of Illinois   
168129, Christie Clinic LLC Champaign on University  
168113, Clinical Radiologist SC   
168041, Community First Medical Center   
169566, Cook County Department of Public Health   
160164, Cook County Health and Hospitals System   
169509, Cook County Juvenile Court Clinic   
169561, Cook County Juvenile Temporary Detention Center   
169619, Cottages of New Lenox   
169530, Council of Jewish Elderly   
169547, Danville Area Community College (DACC)   
169631, DayRehab Center and Outpatient Center Northshore  
160158, Decatur Memorial Hospital   
169594, Digestive Diseases   
169506, Division of Child Protection Services/John H Stroger Jr Hospital   
169511, Division of Forensic Psychiatry   
168117, DuPage County Health Department   
160321, Edgewater Medical Center   
160259, Edward Hines Jr Veterans Affairs Hospital   
169560, Effingham Ambulatory Surgery Center   
167039, Elgin Mental Health Center   
168136, Elmhurst Memorial Hospital   
168137, Elmhurst Outpatient Surgery Center   
168072, Endocrinology and Diabetes SC   
169513, Erie Family Health Center HP   
169639, Erie Family Health California Ave  
168082, Erikson Institute   
160096, Esperanza Health Centers Brighton Park  
160145, Evanston Hospital Northshore University Health System  
168124, Excel Occupational Health Clinic   
169531, FAA Regional Flight Surgeon's Office   
169508, Facial Plastic and Laser Surgery Center LLC   
160065, Family Planning Associates   
168126, Fertility Centers of Illinois   
169586, Franciscan Health Chicago Heights  
169563, Franciscan Health Olympia Fields  
169576, Franciscan Physician Network   
168083, Friend Family Health Center   
168073, Gastroenterology Ltd   
168060, Gateway Foundation   
160505, Gottlieb Memorial Hospital   
169568, Graham Hospital   
160250, Grant Hospital of Chicago   
160332, Great Lakes Naval Hospital   
168087, Great Plains Orthopedics (Downtown Peoria)   
168032, Great Plains Sports Medicine and Rehabilitation Center   
160007, Hartgrove Hospital   
169623, Healthcare Alternative Systems (HAS)   
169571, Heartland Alliance International Marjorie Kovler Center  
169618, Heartland Blood Center   
168074, Heartland Community Health Clinic   
160489, Holy Family Medical Center   
160063, Hope Clinic   
168064, Hope School   
168111, Horizon Hospice and Palliative Care   
169567, Horizons Behavioral Health LLC   
160181, Humbolt Park Health   
168081, Hyde Park Career Academy   
168103, Illinois Bone & Joint Institute LLC (Broadway)   
168098, Illinois College of Optometry   
160167, Illinois Department of Public Health   
168088, Illinois Eye Center   
168068, Illinois Poison Center   
160029, Ingalls Hospital Wyman Gordon Center   
169556, Ingalls Memorial Hospital   
160086, Insight Hospital and Medical Center Chicago   
169569, Institute for Human Reproduction (IHR)   
169554, Iroquois Memorial Hospital   
160354, Jackson Park Hospital   
168057, Jacksonville Developmental Center   
160220, Jesse Brown Veterans Affairs Medical Center   
169638, John H Stroger Jr Hospital of Cook County   
160258, John J Madden Mental Health Center   
169624, JourneyCare   
168042, Katherine Shaw Bethea Hospital   
168062, Kemmerer Village   
168034, Kewanee Hospital   
168115, Lake County Health Department Community Health Center   
168059, Lakeview Nursing and Rehabilitation Center   
160774, LaRabida Children's Hospital and Research Center   
169640, Lawndale Christian Health Center   
169552, Lewis University   
168100, Lincoln Prairie Behavioral Health Center   
168069, Little Company of Mary Hospital and Health Centers   
160006, Loretto Hospital   
160123, Louis A Weiss Memorial Hospital   
160453, Loyola Medicine MacNeal Hospital   
160498, Loyola University Medical Center   
168001, Loyola University of Chicago Stritch School of Medicine   
169551, Loyola University Norville Athletic Department  
169521, Lurie Children's Hospital Outpatient Clinics Primary Care  
