AMC_No,AMC_Name
189511, Area Ambulance Service (Cedar Rapids)  
180240, Broadlawns Medical Center  
189512, CARE Ambulance LLC  
189519, Cedar Rapids Fire Department  
188002, Cedar Rapids Medical Education Foundation  
180496, Central Iowa Health System (Iowa Lutheran Hospital)  
180130, Central Iowa Health System (Iowa Methodist/Iowa Lutheran)  
188005, Des Moines Area Medical Education Consortium Inc  
189507, Eastern Iowa Health Center  
189501, Genesis Health System  
188001, Genesis Medical Center  
189506, Iowa City Cancer Treatment Center  
189508, Iowa City Hospice Inc  
188011, Iowa Clinic PC  
188015, Iowa Diabetes and Endocrinology Center PC  
188012, Iowa Health Physicians  
188013, Iowa Heart Center Pleasant Office (Methodist) 
188004, Iowa Medical and Classification Center  
180018, Iowa Poison Control Center  
189502, Iowa Veterans Home  
189513, Johnson County Ambulance Services  
189514, Johnson County Sheriff's Office  
189515, Joint Emergency Communication Center  
189516, Keokuk County Health Center Ambulance Service 
185044, Medical Oncology and Hematology Associates  
188046, Mercy Arthritis and Osteoporosis Center  
180416, Mercy Hospital  
180452, Mercy Medical Center  
180709, Mercy Medical Center (Sioux City)  
189503, Mercy Medical Center West Lakes 
180356, MercyOne Des Moines Medical Center  
189504, MercyOne Des Moines/PHC Consortium  
180705, MercyOne North Iowa Medical Center  
180714, MercyOne Waterloo Medical Center 
180712, Northeast Iowa Medical Education Foundation  
188003, Pella Regional Health Center  
180708, Siouxland Medical Education Foundation  
180417, St Luke's Methodist Hospital  
180710, St Luke's Regional Medical Center  
189509, UnityPoint Broadlawns Psychiatry Education Foundation  
180713, UnityPoint Health Allen Hospital 
180415, University of Iowa Hospitals and Clinics  
180226, Veterans Affairs Central Iowa Health Care System  
180319, Veterans Affairs Medical Center (Iowa City)  
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
