AMC_No,AMC_Name
238098 , Advanced Dermatology of Southern Maryland
238030 , Agency for Healthcare Research and Quality
238077 , American College of Radiology
230007 , American Institute for Radiologic Pathology
238014 , American Red Cross Blood Services
238066 , Anne Arundel Medical Center
238050 , Armed Forces Health Surveillance Center
238045 , Athol Morgan MD-Cardiology Clinic
238151 , Baltimore County Department of Corrections
238150 , Baltimore County Department of Health
238025 , Baltimore Washington Medical Center
238055 , Barquist Army Health Care Facility
238124 , Calvert Internal Medicine Group
238130 , Capitol Cardiology Associates PA
238016 , Carroll County General Hospital
230012 , Center for Pelvic Pain
238155 , Center for Therapeutic Concepts Inc
238105 , Central Maryland Nephrology Associates
238138 , Charm City Clinic Inc
238149 , Chase Brexton Health Care (Baltimore)
238107 , Cherry Lane Nursing Care Center
230285 , Children's Hospital and Center for Reconstructive Surgery
238015 , Clifton T Perkins Hospital Center
230204 , Clinical Center at the National Institutes of Health
238047 , Concentra Medical Centers (Maryland)
238099 , David Gooray MD-Cardiologist Office
098018 , Deer Pointe Surgery Center
238022 , Department of Health (Montgomery County)
238121 , Department of Health and Mental Hygiene
238017 , Doctors Community Hospital
238133 , Doctors Moshyedi and Mostaghim-Internal Medicine Office
238129 , Endoscopy Center of Bel Air
238034 , Franklin Woods Center
238153 , Future Care Northpoint
230006 , Gaithersburg Medical Center
238037 , Gaudenzia (Baltimore)
238135 , Gerald Family Care
238070 , Gilchrist Hospice Center
230507 , Greater Baltimore Medical Center
238088 , Greater Chesapeake Surgery Center
238148 , Health Care for the Homeless
238131 , Heartland of Adelphi MD LLC
238137 , Hebrew Home of Greater Washington Inc
230710 , Holy Cross Hospital of Silver Spring
230040 , Homewood at Williamsport
238039 , Hospice Care
238114 , Howard County Department of Fire & Rescue Services
238128 , Howard County Detention Center
238023 , Howard County General Hospital
238051 , Howard County Health Department
238104 , Infectious Disease Care Center
238033 , Institute for Asthma & Allergy
238078 , Johns Hopkins at Green Spring Station
230118 , Johns Hopkins Bayview Medical Center
230503 , Johns Hopkins Bloomberg School of Public Health
238145 , Johns Hopkins Carey Business School
230027 , Johns Hopkins Health Care & Surgery Center-White Marsh
230191 , Johns Hopkins Hospital
238120 , Johns Hopkins Lifeline Transport Program
230703 , Johns Hopkins University School of Medicine
238085 , Joint Pathology Center
238082 , Kaiser Permanente Mid-Atlantic States
238108 , Kanaiyalal Patel MD-ENT and Sleep Office
238020 , Kennedy Krieger Institute
238069 , Kensington Medical Center
238040 , Keswick Multi Care Center
238038 , Kimbrough Ambulatory Care Center
238080 , Kolmac Clinic
238118 , Lifestar Response Corporation
230216 , Malcolm Grow Medical Clinic
238041 , Manor Care
238068 , Mark Dettlebach MD-Otolaryngology Clinic
238046 , Maryland Correctional Institute-Women
238116 , Maryland Institute for Emergency Medical Services Systems
238072 , Maryland IVF
238146 , Maryland Physicians Care
230494 , Maryland State Department of Health and Mental Hygiene
238115 , Maryland State Police Aviation Division
238119 , Maryland State Police Tactical Medical Unit
238052 , Medical Services Div of Circuit Court for Baltimore City
238127 , MedImmune LLC
238110 , MedPed Health Care
230122 , MedStar Franklin Square Medical Center
230522 , MedStar Good Samaritan Hospital
230459 , MedStar Harbor Hospital
238142 , MedStar Health
238159 , MedStar Health at Timonium
238139 , MedStar Medical Group at Bethesda
238125 , MedStar Medical Group-Mitchellville
238075 , MedStar Montgomery Medical Center
230005 , MedStar Southern Maryland Hospital Center
230287 , MedStar Union Memorial Hospital
230195 , Mercy Medical Center
238143 , Meritus Medical Center
238102 , MidAtlantic Urology Associates
238095 , Montague Blundon III MD-Orthopaedic Office
238157 , Montgomery College-Athletic Department
238136 , Montgomery Hospice
238029 , Mt Washington Pediatric Hospital
238012 , National Cancer Institute
108020 , National Capital Consortium
238024 , National Institute of Child Health & Human Development
238031 , National Institute of Mental Health
238035 , National Institute on Aging (Clinical Research Branch)
238089 , National Institutes of Health
238048 , National Medical Advisory Services
238028 , Naval Health Clinic (Annapolis)
238090 , Northwest Hospital
238152 , Oak Crest Retirement Senior Living-Onsite Medical Care
238111 , Occupational Health Consultants
230499 , Office of the Chief Medical Examiner
238063 , Orthopaedic Center
238019 , Peninsula Regional Medical Center
238043 , Planned Parenthood (Baltimore)
238134 , Pregnancy Aid Center Inc
238076 , Prince George's County Health Department
230707 , R Adams Cowley Shock Trauma Center/University of Maryland
238079 , RadAmerica II LLC-Joseph E Coad Radiation Treatment Center
238097 , Renee Bovelle MD-Ophthalmology Office
238106 , Revathy Murthy MD-Pulmonologist Office
238103 , Said Daee MD-Surgeon's Office
238018 , Shady Grove Adventist Hospital
238112 , Shady Grove Fertility Center-Towson
238158 , Shady Grove Fertility-Rockville
230397 , Sheppard Pratt Health System
238044 , Sherlock Behavioral Pediatric Clinic
230160 , Sinai Hospital of Baltimore
230289 , Spring Grove Hospital Center
230205 , Springfield Hospital Center
230320 , St Agnes HealthCare
238065 , St Agnes Hospital
230194 , St Joseph's Medical Center
238056 , Stella Maris
238141 , Steven C Scherr MD DDS-Sleep Disorder Office
238021 , Suburban Hospital (Bethesda)
238087 , Suburban Hospital and Health Care System
230029 , TidalHealth
230031 , TidalHealth Penninsula Regional
230714 , Uniformed Services University of Health Sciences F Edward Hebert School of Medicine
238061 , Union Hospital
230002 , University of Maryland Ambulatory Surgery Center-Waterloo Crossing
238154 , University of Maryland Medical Center Department of Orthopaedic Surgery
230147 , University of Maryland Medical Center Midtown Campus
238162 , University of Maryland Orthopedics at Camden Yards
230001 , University of Maryland Orthopedics at Columbia
230003 , University of Maryland Orthopedics at Texas Station
230142 , University of Maryland Prince George's Hospital Center
230247 , University of Maryland Program
230238 , University of Maryland Rehabilitation & Orthopaedic Institute
230513 , University of Maryland School of Medicine
238036 , University Specialty Hospital
238071 , Upper Chesapeake Medical Center
230100 , US Army Center for Health Promotion and Preventive Medicine
238086 , US DHHS-Federal Occupational Health
238101 , V Prem Chandar MD-Gastroenterologist Office
230265 , Veterans Affairs Medical Center (Baltimore)
230713 , Walter P Carter Mental Health Center
100485 , Walter Reed Army Institute of Research
230275 , Walter Reed National Military Medical Center
230222 , Washington Adventist Hospital
238161 , Washington Metro Pain Institute
238042 , White Marsh Medical Center (Kaiser Permanente)
