AMC_No,AMC_Name
248126 , American Red Cross Blood Services-New England Region
248097 , Arbour Health Systems
249559 , Atrius Health
240435 , Austen Riggs Center
248139 , Baycove Treatment Center
248132 , Baystate Franklin Medical Center
248141 , Beaumont at University Campus LLC
248119 , Behavioral Health Network Inc
249532 , Berkshire Allergy Care
240180 , Berkshire Medical Center
249562 , Beth Israel Deaconess Hospital-Milton
248076 , Beth Israel Deaconess Medical Center
249514 , Boston Ballett Ambulatory Clinic
248147 , Boston Center for Ambulatory Surgery
240152 , Boston Children's Hospital
240434 , Boston City Hospital
240005 , Boston Health Care for the Homeless
248098 , Boston Juvenile Court Clinic
249524 , Boston MedFlight
248106 , Boston Outpatient Surgical Suites
248071 , Boston Public Health Commission
248111 , Boston University Athletic Department
248077 , Boston University Medical Center
240186 , Boston University Medical Center-University Hospital
248026 , Boston University School of Medicine
240449 , Boston University School of Public Health
248110 , Boston University Student Health Center
240172 , Boston VA Healthcare System (Brockton-West Roxbury)
248094 , Bournewood Hospital
248070 , Braintree Hospital
247010 , Bridgewater State Hospital
248108 , Brien Center for Mental Health
240438 , Brigham and Women's Hospital
249506 , Brigham and Women's Mohs and Dermatologic Surgery Center
240225 , Brockton Hospital
248083 , Brockton Multiservice Center
249540 , Brockton Neighborhood Health Center
248093 , Cambridge Court Clinic
240367 , Cambridge Health Alliance
240743 , Cambridge Youth Guidance Center
249512 , Care Dimensions
248113 , Caris Dx
248134 , Carson Center for Human Services (Westfield)
248075 , Center for Community Responsive Care Inc
248129 , Central Massachusetts Magnetic Imaging Center Inc
248105 , Central Street Health Center
248145 , Chandler Pediatrics
248146 , Child and Family Forensics Center
249545 , Children's Community Support Collaborative Home
249502 , Clinical Microbiology Laboratory (Massachusetts General)
248128 , Community Healthlink
249533 , Cuttyhunk Volunteer Fire and Rescue
240726 , Dana-Farber Cancer Institute
248150 , DaVita Healthcare of Massachusetts Inc
240262 , Deaconess Hospital
248092 , Department of Public Health (Worcester)
249510 , Dermatology Associates of Winchester
240007 , Dimock Center
249538 , Dodge Park Rest Home
240443 , Edith Nourse Rogers Memorial Veterans Hospital (Bedford)
248101 , Edward M Kennedy Community Health Center
248143 , Elder Service Plan of the North Shore
248079 , Encompass Health Rehabilitation Hospital of New England
240757 , Erich Lindemann Mental Health Center
247085 , Fairlawn Rehabilitation Hospital
248089 , Fallon Clinic
240472 , Faulkner Hospital
240482 , Franciscan Childrens Hospital and Rehabilitation Center
248014 , Good Samaritan Medical Center-Cushing Campus
249552 , Good Shepherd Community Care
249523 , Granite Medical Group
248072 , Greater Lawrence Family Health Center Inc
248116 , Hallmark Health Melrose-Wakefield Hospital
248078 , Hallmark Health System
240188 , Hallmark Health System/Malden Hospital
248107 , Harbor Health Services Inc
249546 , Harvard Medical School Department of Bioinformatics
240510 , Harvard Pilgrim Health Care
240124 , Harvard School of Public Health
248121 , Harvard School of Public Health Occupational Medicine Physician Activities
248081 , Harvard University Health Services
249517 , Harvard Vanguard Medical Associates
240366 , Health Alliance Hospital-Leominster
248086 , Health Alliance-Clinton Hospital
248117 , Hearth-Ending Elder Homelessness
248100 , Hebrew Rehabilitation Center
249530 , Helping Children with Challenges
240006 , High Point Treatment Center
249556 , Holy Family Hospital
249520 , Integrated Genetics
240753 , Jewish Memorial Hospital
248084 , John C Corrigan Mental Health Center
240523 , Joint Center for Radiation Therapy
248034 , Joslin Diabetes Center
240212 , Judge Baker Guidance Center
248138 , Juvenile Justice Residential Unit at Butler
249515 , Kindred Hospital Boston
240163 , Lahey Hospital and Medical Center
249541 , Laurel Ridge Rehabilitation and Nursing Center
240330 , Lawrence General Hospital
240401 , Lemuel Shattuck Hospital
248130 , Lowell General Hospital
248156 , Lowell Juvenile Court Clinic
249529 , Lurie Center for Autism
248030 , Mallory Institute of Pathology
248087 , Marlboro Hospital
240376 , Massachusetts Department of Public Health
240155 , Massachusetts Eye and Ear Infirmary
240394 , Massachusetts General Hospital
248112 , Massachusetts Institute of Technology Medical Department
248104 , Massachusetts Institute of Technology Mental Health Services
240255 , Massachusetts Mental Health Center
248136 , May Street School
