AMC_No,AMC_Name
259528 , Advanced Urogynecology of Michigan PC
259033 , Advanced Vascular Surgery
250106 , Advantage Health Centers
259770 , Aggarwal Eye Care
259526 , Agility Physical Therapy and Sports Performance-Kalamazoo
259707 , Allan Morton DO PC-Rheumatology Office
259614 , Allegan General Hospital
259664 , Alzohaili Medical Consultants
259092 , Ambassador Nursing & Rehabilitation Center
259730 , American Journal of Preventive Medicine
250550 , American Red Cross Blood Services-Southeastern Michigan Region
250058 , Anesthesia Practice Consultants PC
259058 , Angela Hospice Home Care Inc
250035 , Ann Arbor Fire Department
250095 , Apex Behavioral Health Dearborn PLLC
250490 , Ascension Borgess Hospital
259129 , Ascension Borgess Hospital Affiliated Physician Practices
258007 , Ascension Genesys Hospital
259025 , Ascension Macomb-Oakland Hospital
250199 , Ascension Providence Rochester Hospital
250197 , Ascension Providence/MSUCHM
250486 , Ascension St John Hospital
250276 , Ascension St Mary's Hospital
259663 , Associated Endocrinologists
259683 , Associated Orthopedists of Detroit PC
259710 , Associated Rheumatology Consultants
259641 , Associates in Neurology
259757 , Asthma Allergy & Immunology
259719 , Aurora Diagnostics Dermatopathology
259595 , Aydin Turan MD-Internal Medicine Office
259661 , B Raju MD-Infant Child & Adolescent Care
259015 , Barbara Ann Karmanos Cancer Institute
259098 , Battle Creek Health System
259571 , Battle Creek VA Medical Center
259735 , Beacon Hill
259760 , Beaumont Health
250366 , Beaumont Hospital-Dearborn
259004 , Beaumont Hospital-Farmington Hills
250103 , Beaumont Hospital-Grosse Pointe
259762 , Beaumont Hospital-Royal Oak
250396 , Beaumont Hospital-Royal Oak
259024 , Beaumont Hospital-Taylor
259586 , Beaumont Hospital-Trenton
250551 , Beaumont Hospital-Troy
258399 , Beaumont Hospital-Wayne
259584 , Berry Surgery Center
259691 , BioMed Behavioral Healthcare Inc
259739 , BMS Integrated Health PLC
259508 , Boulevard Temple Care Center LLC
259678 , Brighton Dermatology
259078 , Brighton Hospital
259736 , Bronson Battle Creek Hospital
259798 , Bronson Battle Creek Hospital Affiliated Physician Practices
259100 , Bronson Healthcare Midwest
250458 , Bronson Methodist Hospital
259128 , Bronson Methodist Hospital Affiliated Physician Practices
259535 , Bronson Orthopedics and Sports Medicine
259755 , C S Mott Center for Human Growth
259127 , Cabrini Clinic
259647 , Capital Urology Associates
259034 , Cardio Thoracic Surgery
259711 , Carol Fischer DO PLLC-Ob/Gyn Office
259070 , Carson City Hospital
259532 , Center for Family Health
258006 , Center for Forensic Psychiatry
259746 , CentraCare-Battle Creek
250525 , Central Michigan University College of Medicine
250555 , Chelsea Community Hospital
250456 , Children's Hospital of Michigan
259065 , Chrysler Corporation (Occupational Medicine Clinic)
259110 , Clark Retirement Community
259677 , Clarkston Dermatology
259666 , Clinical Oncology Associates
259013 , Clinton-Eaton-Ingham Community Mental Health Center
259035 , Colon and Rectal Surgery Center
259680 , Colon Rectal Specialists PC
259673 , Commerce Institute of Skin
259791 , Common Ground
259510 , Community Health and Social Services Center
259776 , Community Mental Health for Central Michigan
259620 , Comprehensive Dermatology Center
