AMC_No,AMC_Name
289549 , 32nd Street Surgery Center
289519 , Abbott EMS-St Louis
289556 , Access Family Care
289542 , Advanced Surgical Associates
289520 , Air Evac Lifeteam
288188 , Allergy & Asthma Specialists of Kansas City
289596 , Allergy Consultants
289532 , Alternative Hospice
289579 , American Red Cross
289054 , Associated Ophthalmology of Kansas City PC
289006 , Barnes-Jewish Center Behavioral Health
289008 , Barnes-Jewish Extended Care
280146 , Barnes-Jewish Hospital
280210 , Barnes-Jewish Hospital (South Campus)
288173 , Barnes-Jewish West County Hospital
289534 , Beauvais Manor on the Park
289598 , Big River Nursing Home
289571 , BJC Corporate Health Services (BarnesCare)
289573 , Bluffs
287035 , Boone Hospital Center
280036 , Bothwell Regional Health Center
289552 , Briarcliff Surgery Center
289048 , Bridgeway Behavioral Health
289015 , Burrell Behavioral Health
288180 , Callaway Community Hospital
289528 , Cameron Regional Medical Center
289001 , Capital Region Medical Center
280005 , CareSTL Health
289588 , Cedar Hill Primary Care
280433 , Center for Behavioral Medicine
289034 , Centerpoint Medical Center
289504 , CentrePointe Hospital
288017 , Charter Hospital of Columbia
280023 , Children's Mercy Broadway
280426 , Children's Mercy Hospital
288184 , Columbia Orthopaedic Group
289013 , Columbia Public Schools
288020 , Columbia Regional Hospital
289027 , Community Blood Bank of Greater Kansas City
288168 , Cox Medical Center North
288169 , CoxHealth
289553 , Creekwood Surgery Center
289568 , Crossroads Hospice & Palliative Care of St Louis
289509 , Culver-Stockton College
280431 , DePaul Health Center
289004 , Dialysis Clinics Inc
289014 , Division of Youth Services
280169 , Ellis Fischel Cancer Center
289593 , Envision Eye Specialists
289016 , Family Health Center
289007 , Fitzgibbon Hospital
280245 , Forest Park Hospital
289535 , Foxwood Springs-Brookdale Senior LIving Center
289560 , Freeman Hospital East
289541 , Freeman Hospital West
280048 , Freeman Neosho Hospital
289548 , Freeman Surgical Center
289572 , Fresenius Kidney Care St Louis Grand
287014 , Fulton State Hospital
289510 , General Leonard Wood Army Community Hospital
280178 , Harry S Truman Memorial Veterans Hospital
288015 , Hawthorn Children's Psychiatric Hospital
280175 , HCA Healthcare Kansas City
289558 , Heartland Behavioral Health Services
289561 , Hellman & Rosen Endocrine Associates
289570 , Hospice Compassus
289521 , IHM Academy of EMS
289002 , Institute for Outpatient Surgery
289597 , Jeffrey I Schulman MC LLC-Psychiatry Office
280009 , Juvenile Detention Family Justice Center of Jackson County Missouri
288181 , Juvenile Division of Circuit Court of Boone/Callaway County
289507 , Kansas City Cancer Center North
289023 , Kansas City Hospice and Palliative Care
289043 , Kansas City Skin and Cancer Center LLC
289536 , Kansas City University GME Consortium (KCU-GME Consortium)
289012 , Kendallwood Hospice
289505 , Landmark Hospital
289539 , Laser & Dermatologic Surgery Center
289039 , Lee's Summit Medical Center
289574 , Lenoir Woods
289003 , Liberty Hospital
289569 , Life Care Center of Saint Louis
280211 , Mallinckrodt Institute of Radiology
289021 , McCallum Place
280035 , Medical Specialists of Southeast Missouri
280355 , Menorah Medical Center
280037 , Mercy Children's Hospital St Louis
280231 , Mercy Hospital (St Louis)
289516 , Mercy Hospital South
280221 , Mercy Hospital Springfield
289562 , Metro Emergency Transport System (METS)
280214 , Metropolitan St Louis Psychiatric Center
288013 , Mid-Missouri Mental Health Center
289550 , Midwest Aethetic Surgery Center LLC
289575 , Midwest Aortic & Vascular Institute PC
289018 , Midwest Orthopedics Specialists
289564 , Midwest Regional Allergy Asthma Arthritis and Osteoporosis Center
280264 , Missouri Baptist Medical Center
288016 , Missouri Department of Health
289010 , Missouri Department of Mental Health
289525 , Missouri Disaster Response System
289032 , Missouri Regional Poison Control Center
289527 , Neighborhoods by TigerPlace
289601 , Nephrology Associates
280047 , Nevada Regional Medical Center
289567 , NHC Healthcare Maryland Heights
280006 , Noble Pain Management Center
289512 , North Kansas City Hospital
289543 , Northeast Regional Medical Center
289049 , Northwest Psychiatric Rehabilitation Center
288178 , Office of the Jackson County Medical Examiner
289518 , Oral Facial Surgery Institute
289592 , Orthopedic Specialists
289557 , Ozark Center
289009 , Parc Provence
289513 , People's Health Centers
280039 , Planned Parenthood
289546 , Plaza Rehabilitation and Health Care Center
280013 , Poplar Bluff Regional Medical Center
289017 , Progress West HealthCare Center
289028 , Quest Diagnostics Inc
289515 , Ranken Jordan
288179 , Rehabilitation Institute of St Louis
280038 , Research Medical Center
288018 , Research Mental Health Services-North Star Program
288172 , Riverside Hospital and Counseling Center
288177 , Royal Oaks Hospital
288187 , Rusk Rehabilitation Hospital
289046 , Saint Louis County Jail
289047 , Saint Louis County Juvenile Center
289044 , Saint Louis University School of Law
289501 , Saint Louis University School of Medicine
289533 , Seasons Hospice and Palliative Care
289045 , Sexual Offender Rehabilitation and Treatment Services
280164 , Shriners Hospitals for Children (St Louis)
289029 , SLUCare (Ambulatory Practices of the UMG)
289599 , SLUcare Physician Group
289053 , South City Hospital
280444 , SSM Health Cardinal Glennon Children's Hospital
280167 , SSM Health Saint Louis University Hospital
287025 , SSM Health Saint Louis University Hospital South Campus
280004 , SSM Health St Clare Hospital
289040 , SSM Health St Mary's Hospital-St Louis
280442 , SSM Health St Mary's Hospital-St Louis
289523 , St Charles County Ambulance District
289524 , St Charles County Sheriff's Department
280032 , St Francis Healthcare-Cape Physician Associates
280031 , St Francis Healthcare-Ferguson Medical Group
280034 , St Francis-Cape Diabetes and Endocrinology
288183 , St Joseph Health Center (Kansas City)
280145 , St Louis Children's Hospital
289551 , St Louis Children's Hospital Specialty Care Center
288176 , St Louis City Department of Health and Hospitals
289011 , St Louis City Medical Examiner Office
280250 , St Louis ConnectCare
280148 , St Louis Cosmetic Surgery
280001 , St Louis County Health Department
288174 , St Louis County Medical Examiner's Office
289522 , St Louis Fire Department-Bureau of EMS
287022 , St Louis GME Consortium-Christian Hospital
289026 , St Louis Renal Care LCC
288175 , St Louis University School of Public Health
289594 , St Louis Women's Healthcare Group
289000 , St Luke's Des Peres Hospital
280203 , St Luke's Hospital
289531 , St Luke's Hospital of Kansas City Crittenton Children's Center
280337 , St Luke's Hospital-Kansas City
289037 , St Mary's Medical Center
289537 , Still OPTI
289578 , Stowers Institute for Medical Research
289024 , Surgery Center of Columbia
288019 , Swope Parkway Health Center
289050 , Timberlake Care Center
280180 , Trinity Lutheran Hospital
289530 , Truman Medical Center Behavioral Health
289031 , UMHS Medical Genetics Clinic at Mercy St John's
288012 , University Health Lakewood Medical Center
280263 , University Health Truman Medical Center
280176 , University of Missouri Healthcare
280709 , University of Missouri-Columbia School of Medicine
280453 , University of Missouri-Kansas City School of Medicine
280022 , US Dermatology Partners Joplin
280218 , Veterans Affairs Medical Center (Kansas City)
280354 , Veterans Affairs Medical Center (St Louis)
289508 , Washington Univ Center for Dermatologic and Cosmetic Surgery
280440 , Washington University in St Louis School of Medicine
289030 , Washington University Orthopedics-Chesterfield
289502 , Washington University/B-JH/SLCH Consortium
289591 , West County Spine & Sports Medicine
280030 , Westwood Hills Health and Rehabilitation Center
280147 , Women's and Children's Hospital
